Index,Release Note,Release Note Abstract
12,"Fixed

Fix autoloading in distribution by @mattstauffer in https://github.com/laravel/valet/commit/35998a0f86b9d57b5766f2663a41a2c99af3d579
","Fixed
Fix autoloading in distribution by @mattstauffer in link"
13,"Changed

When formatting provided site name, only remove .tld if it's at the end by @ErikDohmen in https://github.com/laravel/valet/pull/1297
Set files path as a static path for concrete5 driver by @KorvinSzanto in https://github.com/laravel/valet/pull/514
Allow users to provide custom stub files by @jjpmann in https://github.com/laravel/valet/pull/1238
Disable brew auto cleanup on installation, to avoid upgrade errors failing install by @JoshuaBehrens in https://github.com/laravel/valet/pull/995
Move all drivers to PSR autoload, and write tests for drivers by @mattstauffer in https://github.com/laravel/valet/pull/1310

Fixed

Retain secure proxies by @ashleyshenton in https://github.com/laravel/valet/pull/1305
Prevent 502 errors when using AJAX by @mattkingshott in https://github.com/laravel/valet/pull/1079
","Changed
When formatting provided site name, only remove .tld if it's at the end by @ErikDohmen in link
Set files path as a static path for concrete5 driver by @KorvinSzanto in link
Allow users to provide custom stub files by @jjpmann in link
Disable brew auto cleanup on installation, to avoid upgrade errors failing install by @JoshuaBehrens in link
Move all drivers to PSR autoload, and write tests for drivers by @mattstauffer in link
Fixed
Retain secure proxies by @ashleyshenton in link
Prevent 502 errors when using AJAX by @mattkingshott in link"
14,"Fixed

Fix bedrockvaletdriver by @EHLOVader in https://github.com/laravel/valet/pull/1289
","Fixed
Fix bedrockvaletdriver by @EHLOVader in link"
15,"Changed

Valet fetch-share-url issue fix by @NasirNobin in https://github.com/laravel/valet/pull/1285
Add description to secured command by @EvanGoss in https://github.com/laravel/valet/pull/1288
","Changed
Valet fetch-share-url issue fix by @NasirNobin in link
Add description to secured command by @EvanGoss in link"
16,"Fixed

Update version by @driesvints in https://github.com/laravel/valet/commit/6f1e4d421bfa7a206133e971a186de708c963adf
","Fixed
Update version by @driesvints in link"
17,"Changed

PHP 8.2 support by @driesvints in https://github.com/laravel/valet/pull/1279
","Changed
PHP 8.2 support by @driesvints in link"
18,"Fixed

Fix version number
","Fixed
Fix version number"
19,"Fixed

Revert ngrok arm binary by @driesvints in https://github.com/laravel/valet/pull/1258
","Fixed
Revert ngrok arm binary by @driesvints in link"
20,"What's Changed

Update Ngrok (valet share) to lowercase domains before matching by @mattstauffer in https://github.com/laravel/valet/pull/1253

Full Changelog: https://github.com/laravel/valet/compare/v3.1.6...v3.1.7","What's Changed
Update Ngrok (valet share) to lowercase domains before matching by @mattstauffer in link
Full Changelog: link"
21,"
Add extra info output to phpfpm install method

Full Changelog: https://github.com/laravel/valet/compare/v3.1.5...v3.1.6","Add extra info output to phpfpm install method
Full Changelog: link"
22,"What's Changed

Remove preg_replace deprecation warning by @NasirNobin in https://github.com/laravel/valet/pull/1242

Full Changelog: https://github.com/laravel/valet/compare/v3.1.4...v3.1.5","What's Changed
Remove preg_replace deprecation warning by @NasirNobin in link
Full Changelog: link"
23,"What's Changed

Confirm tld command by @driesvints in https://github.com/laravel/valet/pull/1244

Full Changelog: https://github.com/laravel/valet/compare/v3.1.3...v3.1.4","What's Changed
Confirm tld command by @driesvints in link
Full Changelog: link"
24,"
Roll back #1088 

Full Changelog: https://github.com/laravel/valet/compare/v3.1.2...v3.1.3","Roll back #1088 
Full Changelog: link"
25,"What's Changed

Add PHP version to valet links output table by @michaellehmkuhl in https://github.com/laravel/valet/pull/1229
Add support for parked domains to some commands by @antonioribeiro in https://github.com/laravel/valet/pull/1088

New Contributors

@michaellehmkuhl made their first contribution in https://github.com/laravel/valet/pull/1229

Full Changelog: https://github.com/laravel/valet/compare/v3.1.1...v3.1.2","What's Changed
Add PHP version to valet links output table by @michaellehmkuhl in link
Add support for parked domains to some commands by @antonioribeiro in link
New Contributors
@michaellehmkuhl made their first contribution in link
Full Changelog: link"
26,"What's Changed

Isolation compatibility with .valetphprc by @NasirNobin in https://github.com/laravel/valet/pull/1213

Full Changelog: https://github.com/laravel/valet/compare/v3.1.0...v3.1.1","What's Changed
Isolation compatibility with .valetphprc by @NasirNobin in link
Full Changelog: link"
27,"What's Changed

PHP version isolation helper for command line by @NasirNobin in https://github.com/laravel/valet/pull/1216

Full Changelog: https://github.com/laravel/valet/compare/v3.0.1...v3.1.0","What's Changed
PHP version isolation helper for command line by @NasirNobin in link
Full Changelog: link"
28,"What's Changed

When stopping Homebrew services, restore original folder permissions by @nicoverbruggen in https://github.com/laravel/valet/pull/1223

New Contributors

@nicoverbruggen made their first contribution in https://github.com/laravel/valet/pull/1223

Full Changelog: https://github.com/laravel/valet/compare/v3.0.0...v3.0.1","What's Changed
When stopping Homebrew services, restore original folder permissions by @nicoverbruggen in link
New Contributors
@nicoverbruggen made their first contribution in link
Full Changelog: link"
29,"What's Changed

Multiple/Parallel PHP Version Support
Multiple/Parallel PHP Version Support for Valet by @NasirNobin in https://github.com/laravel/valet/pull/1192
Multiple/Parallel PHP Version Support for Valet -- Updated by @mattstauffer in https://github.com/laravel/valet/pull/1198
Update valet.sock to be a symlink to an existing valet{version}.sock file by @mattstauffer in https://github.com/laravel/valet/pull/1201
Fix Homebrew PHP default www pools issue on Valet 3.0 alpha by @NasirNobin in https://github.com/laravel/valet/pull/1208
Add --site to isolate and unisolate commands by @mattstauffer in https://github.com/laravel/valet/pull/1212


fix: Drupal JSON:API support for non-standard url by @BurningDog in https://github.com/laravel/valet/pull/1218

New Contributors

@NasirNobin made their first contribution in https://github.com/laravel/valet/pull/1192
@BurningDog made their first contribution in https://github.com/laravel/valet/pull/1218

Full Changelog: https://github.com/laravel/valet/compare/v2.18.10...v3.0.0","What's Changed
Multiple/Parallel PHP Version Support
Multiple/Parallel PHP Version Support for Valet by @NasirNobin in link
Multiple/Parallel PHP Version Support for Valet -- Updated by @mattstauffer in link
Update valet.sock to be a symlink to an existing valet{version}.sock file by @mattstauffer in link
Fix Homebrew PHP default www pools issue on Valet 3.0 alpha by @NasirNobin in link
Add --site to isolate and unisolate commands by @mattstauffer in link
fix: Drupal JSON:API support for non-standard url by @BurningDog in link
New Contributors
@NasirNobin made their first contribution in link
@BurningDog made their first contribution in link
Full Changelog: link"
30,"What's Changed

Add --site flag to isolate and unisolate commands by @mattstauffer in https://github.com/laravel/valet/pull/1212

Full Changelog: https://github.com/laravel/valet/compare/v3.0.0-alpha.2...v3.0.0-alpha.3","What's Changed
Add --site flag to isolate and unisolate commands by @mattstauffer in link
Full Changelog: link"
31,"What's Changed

Only look for certificate files when looking for secured sites by @mattstauffer in https://github.com/laravel/valet/commit/c8e70396e4039e3a632d575b42927800fb95b53a

Full Changelog: https://github.com/laravel/valet/compare/v3.0.0-alpha.1...v3.0.0-alpha.2","What's Changed
Only look for certificate files when looking for secured sites by @mattstauffer in link
Full Changelog: link"
32,"What's Changed

Fix Homebrew PHP default www pools issue on Valet 3.0 alpha by @NasirNobin in https://github.com/laravel/valet/pull/1208

Full Changelog: https://github.com/laravel/valet/compare/v3.0.0-alpha...v3.0.0-alpha1","What's Changed
Fix Homebrew PHP default www pools issue on Valet 3.0 alpha by @NasirNobin in link
Full Changelog: link"
33,"What's Changed

Multiple/Parallel PHP Version Support for Valet
Original PR by @NasirNobin in https://github.com/laravel/valet/pull/1192
Updated by @mattstauffer in https://github.com/laravel/valet/pull/1198
Updated again to use symlinks in https://github.com/laravel/valet/pull/1201



New Contributors

@NasirNobin made their first contribution in https://github.com/laravel/valet/pull/1192

Full Changelog: https://github.com/laravel/valet/compare/v2.18.10...v3.0.0-alpha","What's Changed
Multiple/Parallel PHP Version Support for Valet
Original PR by @NasirNobin in link
Updated by @mattstauffer in link
Updated again to use symlinks in link
New Contributors
@NasirNobin made their first contribution in link
Full Changelog: link"
34,"What's Changed

Add ""secured"" command by @mattstauffer in https://github.com/laravel/valet/pull/1203

Full Changelog: https://github.com/laravel/valet/compare/v2.18.9...v2.18.10","What's Changed
Add ""secured"" command by @mattstauffer in link
Full Changelog: link"
35,"Fixed

Fixed an issue with wrong configured variable in Valet's bash script

Full Changelog: https://github.com/laravel/valet/compare/v2.18.8...v2.18.9","Fixed
Fixed an issue with wrong configured variable in Valet's bash script
Full Changelog: link"
36,"What's Changed

Laravel 9 support by @driesvints in https://github.com/laravel/valet/pull/1181

Full Changelog: https://github.com/laravel/valet/compare/v2.18.7...v2.18.8","What's Changed
Laravel 9 support by @driesvints in link
Full Changelog: link"
37,"What's Changed

Stop root homebrew services on php version switch by @cristiancalara in https://github.com/laravel/valet/pull/1178

New Contributors

@cristiancalara made their first contribution in https://github.com/laravel/valet/pull/1178

Full Changelog: https://github.com/laravel/valet/compare/v2.18.6...v2.18.7","What's Changed
Stop root homebrew services on php version switch by @cristiancalara in link
New Contributors
@cristiancalara made their first contribution in link
Full Changelog: link"
38,"Fixed

Fix syntax error in ./valet (#1183)
","Fixed
Fix syntax error in ./valet (#1183)"
39,"What's Changed

Add ARM support for ngrok by @driesvints in https://github.com/laravel/valet/pull/1182

Full Changelog: https://github.com/laravel/valet/compare/v2.18.4...v2.18.5","What's Changed
Add ARM support for ngrok by @driesvints in link
Full Changelog: link"
40,"
Fix warnings when using Valet in non-CLI context (#1169)
",Fix warnings when using Valet in non-CLI context (#1169)
41,"Fixed

Fix some more Guzzle compatibility issues (f980900)
","Fixed
Fix some more Guzzle compatibility issues (f980900)"
42,"Fixed

Fix an issue with valet on-latest-version (#1164)
","Fixed
Fix an issue with valet on-latest-version (#1164)"
43,"
Avoid expiring of the root certificate authority by extending it to last 20 years (#1161)
",Avoid expiring of the root certificate authority by extending it to last 20 years (#1161)
44,"
Replace HTTPful (un-managed) with Guzzle (#1163)
",Replace HTTPful (un-managed) with Guzzle (#1163)
45,"
Fix certificate generation bug introduced in v2.17.0 (#1155)
",Fix certificate generation bug introduced in v2.17.0 (#1155)
46,"
Default SSL certificates to shorter duration (per Chrome 58), allow for manual duration setting when securing (#1154)
","Default SSL certificates to shorter duration (per Chrome 58), allow for manual duration setting when securing (#1154)"
47,"
Set Brew highest PHP version to 8.1 (#1111)
Update constraints (#1151)
","Set Brew highest PHP version to 8.1 (#1111)
Update constraints (#1151)"
48,"
Allow execution of custom PHP files in Bedrock projects (#1094)
Add alias latest for on-latest-version command (#1089)
","Allow execution of custom PHP files in Bedrock projects (#1094)
Add alias latest for on-latest-version command (#1089)"
49,"
Add the ability to define a given project's preferred PHP version using a .valetphprc file in the project root, and then switch to that version when in that folder by running valet use (#1083)
","Add the ability to define a given project's preferred PHP version using a .valetphprc file in the project root, and then switch to that version when in that folder by running valet use (#1083)"
50,"
Update default ngrok binary (#1082)
",Update default ngrok binary (#1082)
51,"
Set the $_SERVER['SCRIPT_FILENAME'] to the front controller path (#1072, closes #1071)
","Set the $_SERVER['SCRIPT_FILENAME'] to the front controller path (#1072, closes #1071)"
52,"
Fix subdomains using root link (#1068)
",Fix subdomains using root link (#1068)
53,"
Stop non-root Valet-managed Brew services during stop and install (#1069)
",Stop non-root Valet-managed Brew services during stop and install (#1069)
54,"
Fix subdomains pointing to root path (#1040)
",Fix subdomains pointing to root path (#1040)
55,"
Add the ability to proxy insecurely (#1005)
",Add the ability to proxy insecurely (#1005)
56,"
Make small changes to allow Valet to be included as a dependency in non-CLI apps (#1050)
",Make small changes to allow Valet to be included as a dependency in non-CLI apps (#1050)
57,"
Add loopback command for Docker users (#1039)
",Add loopback command for Docker users (#1039)
58,"
Fix issues with valet share on Hyper terminal (#1029)
",Fix issues with valet share on Hyper terminal (#1029)
59,"
Delete rogue valet.sock files when changing PHP versions (#1028)
Prioritize linked subdomains over basic park match (#1018)
","Delete rogue valet.sock files when changing PHP versions (#1028)
Prioritize linked subdomains over basic park match (#1018)"
60,"
Fix Valet Bin dir linking for ARM/M1 Macs (#1025)
",Fix Valet Bin dir linking for ARM/M1 Macs (#1025)
61,"
Fix a bug with an un-imported Exception (#1014)
",Fix a bug with an un-imported Exception (#1014)
62,"
Just a note that 2.13.14 was supposed to be 2.13.4 but I have fat fingers.
Update the test suite to PHPUnit 9.5 (#1004)
Specify 8.0 as the latest PHP version (#1006)
Include resolve conf in diagnose output (#1007)
Improve the 'valet use' command (#1008)
","Just a note that 2.13.14 was supposed to be 2.13.4 but I have fat fingers.
Update the test suite to PHPUnit 9.5 (#1004)
Specify 8.0 as the latest PHP version (#1006)
Include resolve conf in diagnose output (#1007)
Improve the 'valet use' command (#1008)"
63,"
Point PHP-FPM error_log to user directory (#996)
",Point PHP-FPM error_log to user directory (#996)
64,"
Update Brew commands to remove deprecation warning (#1003)
",Update Brew commands to remove deprecation warning (#1003)
65,"
Fix bug introduced in v2.13.1 that failed to prioritize subdomain matches before full domain matches with Valet link (#997)
",Fix bug introduced in v2.13.1 that failed to prioritize subdomain matches before full domain matches with Valet link (#997)
66,"
Fix VS Code using the wrong user when launched  from the Dock, Spotlight, or Finder (#943) 
Allow serving from case-sensitive file systems (#952) 
Call Brew packages using the Brew-defined path instead of hard-coded /usr/local (#992)
","Fix VS Code using the wrong user when launched  from the Dock, Spotlight, or Finder (#943) 
Allow serving from case-sensitive file systems (#952) 
Call Brew packages using the Brew-defined path instead of hard-coded /usr/local (#992)"
67,"
Add support for PHP8 (https://github.com/laravel/valet/pull/987)
Fix TLD bugs (https://github.com/laravel/valet/pull/990)
Make tunnel services configurable (https://github.com/laravel/valet/pull/954)
","Add support for PHP8 (link)
Fix TLD bugs (link)
Make tunnel services configurable (link)"
68,"
Support Illuminate 8.0 components (#979)
",Support Illuminate 8.0 components (#979)
69,"
Allow support for Kirby's files above the webroot (https://github.com/laravel/valet/pull/740)
",Allow support for Kirby's files above the webroot (link)
70,"
Alias ""forget"" to ""unpark"" (#957)
Disallow running ""forget"" inside the config sites folder (#958)
Alias dev-master to 2.x-dev (#950)
","Alias ""forget"" to ""unpark"" (#957)
Disallow running ""forget"" inside the config sites folder (#958)
Alias dev-master to 2.x-dev (#950)"
71,"
Drop unnecessary special nginx directives in proxied sites (#949)
",Drop unnecessary special nginx directives in proxied sites (#949)
72,"
Tweak diagnose command to only report brew-related commands in the Launch* lists.  (#942)
",Tweak diagnose command to only report brew-related commands in the Launch* lists.  (#942)
73,"
Add ""diagnose"" command (#938)
Add proxy site-handling commands (#913)
","Add ""diagnose"" command (#938)
Add proxy site-handling commands (#913)"
74,"
Allow for Tightenco collect 7.0+ (#929)
",Allow for Tightenco collect 7.0+ (#929)
75,"

888: Add a directory-listing setting


898: Update nginx.conf to re-organize


916: Update PHP memory limit (Only takes effect after running valet install, or when valet use php@X.Y installs a new X.Y PHP version)


922 : Allow Illuminate Container 7.0+

","888: Add a directory-listing setting
898: Update nginx.conf to re-organize
916: Update PHP memory limit (Only takes effect after running valet install, or when valet use php@X.Y installs a new X.Y PHP version)
922 : Allow Illuminate Container 7.0+"
76,"

891 - Clean up old TLD config files when switching TLD or uninstalling

",891 - Clean up old TLD config files when switching TLD or uninstalling
77,"

892 - Reduce internal code duplication


893 - Add an -off flag for the valet trust command


895 - Detect running version of PHP when use is called with no version number


874 - Allow for starting, stopping and resetting individual services


894 - Use semicolons instead of hashes for PHP configs

","892 - Reduce internal code duplication
893 - Add an -off flag for the valet trust command
895 - Detect running version of PHP when use is called with no version number
874 - Allow for starting, stopping and resetting individual services
894 - Use semicolons instead of hashes for PHP configs"
78,"

881 - Enable multiple command line arguments passed to ngrok

",881 - Enable multiple command line arguments passed to ngrok
79,"

870: Allow valet share to support multiple domains from same app

",870: Allow valet share to support multiple domains from same app
80,"

871: Update ngrok binary to 2.3.35


872: Fix auto-detection amongst multiple ngrok processes

","871: Update ngrok binary to 2.3.35
872: Fix auto-detection amongst multiple ngrok processes"
81,"

835 - Don't show sites in ""parked"" if they won't be served


851, #866 - Add detailed Valet instructions, and allow for brute-force uninstall when passing --force


854 - Add -all parameter to valet unsecure command


849 - Suggest running composer global update after switching PHP version


852 - Display Nginx config errors on start


853 - Include DNSMasq in start/restart commands


855 - Set robots nofollow for all valet share traffic


863 - Tweak cert generation for filepaths with spaces


864 - Fix domain auto-detection for multilple ngrok processes


858 - Move PHP-FPM config to a separate file for easier debugging


856 - Move DNSMasq config to a separate folder for easier debugging

","835 - Don't show sites in ""parked"" if they won't be served
851, #866 - Add detailed Valet instructions, and allow for brute-force uninstall when passing --force
854 - Add -all parameter to valet unsecure command
849 - Suggest running composer global update after switching PHP version
852 - Display Nginx config errors on start
853 - Include DNSMasq in start/restart commands
855 - Set robots nofollow for all valet share traffic
863 - Tweak cert generation for filepaths with spaces
864 - Fix domain auto-detection for multilple ngrok processes
858 - Move PHP-FPM config to a separate file for easier debugging
856 - Move DNSMasq config to a separate folder for easier debugging"
82,"
Add support for PHP 7.4 (https://github.com/laravel/valet/pull/847)
Add support for Symfony Process 5.0 (https://github.com/laravel/valet/pull/845)
","Add support for PHP 7.4 (link)
Add support for Symfony Process 5.0 (link)"
83,"
Fix secure bug introduced by Symfony Process 4.4.0 (#843)
",Fix secure bug introduced by Symfony Process 4.4.0 (#843)
84,"
Fix a bug in parked command to not show ""parked"" files, just directories (#834)
Fix fastcgi_split_path_info config to allow slash-based paths (#832)
","Fix a bug in parked command to not show ""parked"" files, just directories (#834)
Fix fastcgi_split_path_info config to allow slash-based paths (#832)"
85,"
Fix plus symbols in paths (#830)
",Fix plus symbols in paths (#830)
86,"
Only stop the current version of PHP, instead of all, when running stop (#826) 
Fix code that checks whether multi-segment domains are secured (#825)
Add parked command to show which sites have been registered to show via the park {path} command (#824)
","Only stop the current version of PHP, instead of all, when running stop (#826) 
Fix code that checks whether multi-segment domains are secured (#825)
Add parked command to show which sites have been registered to show via the park {path} command (#824)"
87,Revert #813.,Revert #813.
88,"
Allow for longer domain names (#818)
Increase nginx buffer sizes in dev (#813)
Disable logging for missing favicon and robots.txt (#819)

@drbyte FTW ❤️ ","Allow for longer domain names (#818)
Increase nginx buffer sizes in dev (#813)
Disable logging for missing favicon and robots.txt (#819)
@drbyte FTW ❤️ "
89,"
Allow HTTP2 push for secured domains (#573)
Add Chinese translation to Statamic driver (#738)
Fire the .valet-env detection earlier (#811)
Add Illuminate 6.0 compatibility (#816)
Update ngrok (#812)
","Allow HTTP2 push for secured domains (#573)
Add Chinese translation to Statamic driver (#738)
Fire the .valet-env detection earlier (#811)
Add Illuminate 6.0 compatibility (#816)
Update ngrok (#812)"
90,"
Fix valet log command for folks with local Collect @ < 5.6.6 (#781)
",Fix valet log command for folks with local Collect @ < 5.6.6 (#781)
91,"
Version bump of shame
",Version bump of shame
92,"
Preserve user Home and env when calling sudo command (#770)
Fix ""sudo: sorry, you are not allowed to preserve the environment"" message (#780)
Add JSON:API support for Drupal (#705)
","Preserve user Home and env when calling sudo command (#770)
Fix ""sudo: sorry, you are not allowed to preserve the environment"" message (#780)
Add JSON:API support for Drupal (#705)"
93,"
Add log feature (https://github.com/laravel/valet/pull/757)
",Add log feature (link)
94,"
Add HOME autoload for easier local dev (https://github.com/laravel/valet/pull/767)
Better fix the Process error temporarily fixed in v2.2.4 (https://github.com/laravel/valet/pull/766)
Recursively search for matching drivers (https://github.com/laravel/valet/pull/591)
","Add HOME autoload for easier local dev (link)
Better fix the Process error temporarily fixed in v2.2.4 (link)
Recursively search for matching drivers (link)"
95,"
Revert #761 to fix a bug described in #763 (#764) for people with old versions of Symfony's Process component
",Revert #761 to fix a bug described in #763 (#764) for people with old versions of Symfony's Process component
96,"
Fix issue with CA serial params
Fix deprecated Process argument passed as string
","Fix issue with CA serial params
Fix deprecated Process argument passed as string"
97,"
Squash a ""file not exists"" error (#747)
Better handle SSL certificate creation (#721)
","Squash a ""file not exists"" error (#747)
Better handle SSL certificate creation (#721)"
98,Version bump of shame,Version bump of shame
99,"
Allow for PHP version switching with valet use php@7.2 (#710)
Fix more of how Valet references, loads, and tests PHP versions because of changes to Homebrew (#711, #720)
Update nginx code given Homebrew's removal of options from packages (#726) 
","Allow for PHP version switching with valet use php@7.2 (#710)
Fix more of how Valet references, loads, and tests PHP versions because of changes to Homebrew (#711, #720)
Update nginx code given Homebrew's removal of options from packages (#726) "
100,"
Better handle static file serving for subfolders (https://github.com/laravel/valet/pull/542)
Better handle folder names with spaces in them (https://github.com/laravel/valet/pull/692)
Allow for loading server environment variables from .valet-env.php (https://github.com/laravel/valet/pull/474)
Re-work PHP resolution in response to Homebrew PHP changes (https://github.com/laravel/valet/pull/683, https://github.com/laravel/valet/pull/699, https://github.com/laravel/valet/pull/700)
","Better handle static file serving for subfolders (link)
Better handle folder names with spaces in them (link)
Allow for loading server environment variables from .valet-env.php (link)
Re-work PHP resolution in response to Homebrew PHP changes (link, link, link)"
101,Version bump (:shame face:) (https://github.com/laravel/valet/commit/af007f995853b68abcc01c7800c6ab2657b54c0e#commitcomment-31604184),Version bump (:shame face:) (link)
102,"
Support PHP 7.3
Handle usernames with spaces
Check for config directory

PHP 7.3 upgrade notes from @drbyte: https://github.com/laravel/valet/pull/683#issuecomment-445370640","Support PHP 7.3
Handle usernames with spaces
Check for config directory
PHP 7.3 upgrade notes from @drbyte: link"
103,"
better sanity checks for ->tld in config
Move secure port from 88 (because of conflicts) to 60
","better sanity checks for ->tld in config
Move secure port from 88 (because of conflicts) to 60"
104,"
Fix sharing secured sites through ngrok
Update ngrok binary to 2.2.8
Minor changes to Drupal, Statamic, and Contao drivers
","Fix sharing secured sites through ngrok
Update ngrok binary to 2.2.8
Minor changes to Drupal, Statamic, and Contao drivers"
105,"
Keeps preexisting users from having to run valet install to import their configuration settings when upgrading to 2.1.* (https://github.com/laravel/valet/pull/636)
",Keeps preexisting users from having to run valet install to import their configuration settings when upgrading to 2.1.* (link)
106,"🎉

Drop old taps
Move helpers into the Valet namespace
Move ~/.valet to ~/.config/valet
Unlink manually-renamed links
Allow SSI
Rename valet domain to valet tld

There have also been a lot of smaller changes to drivers and smaller implementation details.","🎉
Drop old taps
Move helpers into the Valet namespace
Move ~/.valet to ~/.config/valet
Unlink manually-renamed links
Allow SSI
Rename valet domain to valet tld
There have also been a lot of smaller changes to drivers and smaller implementation details."
107,"
Fix bug with incorrectly reported PHP FPM path
",Fix bug with incorrectly reported PHP FPM path
108,"
More fixes for changes to how Homebrew manages PHP versions
",More fixes for changes to how Homebrew manages PHP versions
