Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
23,Fixed bad markup in Update component,0.6808185,Fix: Pegged ANTD version to prevent errors (#198) ,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
24,Renamed variables; moved functionality from Session to NewSessionForm; made use of React spread props syntax,0.46327206,Moved the inspector feature (New session windows section) to link,,0
25,Config button,0.5069715,Fix: make 'connectHardwareKeyboard' capability true by default so that sims are interactable via the hardware keyboard when running under an Inspector session (#61),,0
26,feat: add splash windows for both inspector and server,0.5599959,Moved the inspector feature (New session windows section) to link,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
27,mock out a unified ui using cards,0.42821527,Fix: Make selected element card scrollable (#236),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
28,Add linux category (#364),0.9187092,Fix: Add linux category (#364),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,1
29,Update electron-updater,0.81144714,Update Electron to version 3.0.3 (link) (#661),,1
30,Merge pull request #974 from jlipps/caps-scroll,0.45953822,Fix: Scrolling in selected element card (#236),,0
31,Fixed styling to use antd Forms,0.48431122,Fix: Pegged ANTD version to prevent errors (#198) ,,0
32,chore: bump to 1.18.0-1 as a hotfix (#1508),0.5588392,feat: bump appium version to 1.19.0 beta,,0
33,Update electron-builder to the latest version 🚀 (#1161),0.7344989,Update Electron to version 3.0.3 (link) (#661),,1
34,Added React Native testID to Strategy Mappings (#614),0.9792829,Feature: Add React Native testID to strategy mappings (#614),,1
35,chore: build with nodejs 14 and electron 10 (#2013),0.42936218,Update Electron to version 3.0.3 (link) (#661),,0
36,Prepare for 1.7.0,0.48120105,Fix: Upgraded to Appium 1.7.1 (previously was 1.7.0),,0
37,Don't set 'interactions not available' until we've tried all strategies (#577),0.52461404,Fix: issue where typing into a desired capability box was prevented if the app had not been used before. (#57),,0
38,change style of action mode toolbar,0.5951814,Feature: Add interactive swipe and tap (#260),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
39,Update husky to the latest version 🚀 (#1026),0.46450418,Pcloudy (#830) (de0a295),,0
40,Confirm before restart,0.4746098,Revert Sentry changes that were causing desired capabilities to not be saved (#904) (8e9adb6),Bumps asyncbox from 2.8.0 to 2.9.2. - Release notes - Commits updated-dependencies: - dependency-name: asyncbox   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
41,"For methods, send back selector, strategy, index",0.53634363,Fix: Use multiple selector strategies if first one doesn't work (#330),Bumps eslint-plugin-react-native from 3.11.0 to 4.0.0. - Release notes - Commits updated-dependencies: - dependency-name: eslint-plugin-react-native   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
42,Merge pull request #297 from appium/dpgraham-appium-1.7.0,0.59239256,Bundles Appium v1.15.1,,0
43,feat: Support driver.isKeyboardShown (#1359),0.5702015,Fix: make 'connectHardwareKeyboard' capability true by default so that sims are interactable via the hardware keyboard when running under an Inspector session (#61),update submodule chore: bump deps fix tests,0
44,chore: Update translations (#1667),0.7514145,Update translations,Bumps concurrently from 6.2.1 to 7.1.0. - Release notes - Commits updated-dependencies: - dependency-name: concurrently   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
45,Update translations (#965),0.88095856,Update translations,Bumps axios from 0.21.1 to 0.26.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: axios   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
46,ci: Update translation.yml (#1494),0.719092,Update translations,chore: bump electron to v8 bump spectron as well,1
47,"Upgrade React to 16, plus upgrade related components (#769)",0.7317658,Feature: Upgrade React to v16.x and ANTD to v3.x to get benefits of performance improvements and ,,1
48,Merge branch 'master' into dpgraham-refactor-main-appium,0.40386775,Appium 1.20.2 base,,0
49,Remove element not found notification (#350),0.97451985,Fix: Remove element not found notification (#350),,1
50,v1.14.1,0.6069946,Please consider using 1.17.1-1 since this version has an issue in HTTPS communication,,0
51,The corresponding auto generate code for Ruby in Appium is move_to and not moveTo (#1227),0.5040622,"Feature: Can record actions in Java, JS, Python, and Ruby (#224)",Bumps ansi-to-html from 0.6.15 to 0.7.2. - Release notes - Commits updated-dependencies: - dependency-name: ansi-to-html   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com,0
52,Update ansi-to-html to the latest version 🚀 (#674),0.5330964,Fix: improved markup and CSS in update window (#74),Bumps plist from 3.0.4 to 3.0.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: plist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com,0
53,Update CHANGELOG,0.59500605,Update translations,Bumps jszip from 3.6.0 to 3.7.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: jszip   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
54,Prepare for 1.1.0-beta.3,0.7054077,This beta includes:,Bumps electron-log from 4.4.1 to 4.4.6. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: electron-log   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
55,fix: don't show automatic server tab anymore,0.53972507,Fix: stale session ids being displayed in the attach to session dropdown #1727,Bumps eslint-plugin-mocha from 9.0.0 to 10.0.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint-plugin-mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
56,Add action + subaction selectors,0.53666735,Fix: Debounce calls to selectElement (#325),Bumps plist from 3.0.2 to 3.0.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: plist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
57,Fixed errors,0.6373876,Fix: Resolve python recorder errors (#323),,0
58,Update appium-fake-driver to the latest version 🚀 (#1144),0.7325854,Update Appium to version 1.13.0 #964,Bumps follow-redirects from 1.14.1 to 1.14.8. - Release notes - Commits updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
59,chore(deps): bump follow-redirects from 1.14.1 to 1.14.8 (#1978),0.54473644,Revert Sentry changes that were causing desired capabilities to not be saved (#904) (8e9adb6),"Bumps @babel/core from 7.15.0 to 7.17.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/core""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
60,1.14 beta init,0.70054734,This beta includes:,,1
61,"Revert ""Get source, screenshot and windowSize concurrently"" (#1178)",0.6634804,feat: Intelligently resize screenshot and source tree widths #974,Bumps mocha-junit-reporter from 2.0.0 to 2.0.2. - Release notes - Commits updated-dependencies: - dependency-name: mocha-junit-reporter   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
62,Stub in action executor modal,0.4123388,"Fix defect that made ""object"" args not work for capabilities (ef2ff5d)",Bumps shelljs from 0.8.4 to 0.8.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: shelljs   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
63,fix: add icons for inspector app,0.5881016,Feat: add UA in the header like appium-inspector/version,,0
64,Update asar to the latest version 🚀 (#955),0.5544169,Feature: Updated to Appium 1.6.5 (#208),Bumps axios from 0.21.1 to 0.24.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: axios   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
65,Keep progress bar when download complete,0.45177996,Get Timings button in element section to confirm their performance link,Bumps husky from 5.2.0 to 7.0.4. - Release notes - Commits updated-dependencies: - dependency-name: husky   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
66,Send port and hostname to main process,0.65657884,fix:  apply session.server.${providername}.host/port/path/ssl  #983,Bumps mocha from 8.4.0 to 9.2.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
67,chore: remove test object,0.46165824,Fix: Debounce calls to selectElement (#325),Bumps react-router from 5.2.0 to 5.2.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: react-router   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
68,Use destructuring syntax for 'omit' function,0.4947868,Fix: Debounce calls to selectElement (#325),Bumps eslint-plugin-react from 7.24.0 to 7.28.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint-plugin-react   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
69,ensure numeric server args aren't stored as strings,0.4799065,feat: Make sure to save server type change even without setting change #973,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
70,set window minWidth to 1080 so browserstack tab is visible,0.52003354,Moved the inspector feature (New session windows section) to link,Bumps follow-redirects from 1.14.1 to 1.14.7. - Release notes - Commits updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
71,chore: sync crowdin (#1486),0.5047128,Get Timings button in element section to confirm their performance #1448,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
72,Replace .each with for statement,0.43856183,Fix: Use multiple selector strategies if first one doesn't work (#330),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
73,Added varIndex as parameters in 'codeFor_*',0.4013238,Fix: Debounce calls to selectElement (#325),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
74,Ignore junit-test-results.xml,0.50110817,Feature:  Default to use env variables for SauceLabs and TestObject if credentials not provided through UI (#177),,0
75,update changelog and version for beta6,0.62034476,This beta includes:,,0
76,Record device interactions,0.5002345,Fix: make 'connectHardwareKeyboard' capability true by default so that sims are interactable via the hardware keyboard when running under an Inspector session (#61),,0
77,Make killSession synchronous (#636),0.43446177,Fix: Debounce calls to selectElement (#325),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
78,chore: add umbrella package.json for dev tasks,0.41908464,Feature: Can edit raw desired capabilities JSON string (#267),,0
79,Update release to the latest version 🚀 (#788),0.59817743,Update Appium to version 1.13.0 #964,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
80,Update eslint-plugin-shopify to the latest version 🚀 (#960),0.54259855,Update Appium to version 1.13.0 #964,,0
81,Update sinon to the latest version 🚀 (#1206),0.50293684,Update translations,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
82,chore(deps-dev): bump appium-fake-driver from 0.9.0 to 1.0.0 (#1430),0.7193179,Bump embedded Appium version to 1.22.0,,1
83,remove broken badge and add existing session attaching docs,0.6707674,Fix to attaching to an existing session link,,0
84,Eslint no-hardcoded JSX rule,0.38589445,Fix: Handle XPath exception that was being thrown by xpath generation code,,0
85,CSS fix,0.70406413,Fix: improved markup and CSS in update window (#74),,1
86,add: a link to translation project in help for non-macOS env (#1639),0.5952703,Update translations,,0
87,Update eslint-plugin-jsx-a11y to the latest version 🚀 (#656),0.5490966,Update Electron to version 3.0.3 (link) (#661),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
88,Update i18next to the latest version 🚀 (#1151),0.6182004,Update Appium to version 1.13.0 #964,,0
89,Greenkeeper/appium fake driver 0.6.2 (#652),0.5347853,this is a patch release for link. This does not include Appium 1.22.0 stuff.,Bumps eslint-plugin-mocha from 8.1.0 to 9.0.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint-plugin-mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com,0
90,Merge pull request #106 from jlipps/master,0.4716136,fix: get filePaths #1521,Bumps eslint-plugin-react from 7.23.2 to 7.24.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint-plugin-react   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
91,Bugfix. Fixed exception in killSession,0.60235274,"Fix defect that made ""object"" args not work for capabilities (ef2ff5d)",Bumps antd from 4.16.1 to 4.16.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: antd   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
92,intelligently resize screenshot and source tree widths,0.940735,feat: Intelligently resize screenshot and source tree widths #974,Bumps react-i18next from 11.8.15 to 11.11.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: react-i18next   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
93,Update postcss to the latest version 🚀 (#639),0.46121556,Fix: improved markup and CSS in update window (#74),"Bumps @babel/eslint-parser from 7.14.3 to 7.14.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/eslint-parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",0
94,Added clear and sendKeys,0.6514528,Can call tap and sendKeys on elements,"Bumps @babel/preset-react from 7.13.13 to 7.14.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/preset-react""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com",0
95,chore(deps-dev): bump mocha from 8.4.0 to 9.2.0 (#1965),0.63540196,feat: Bump Appium version to 1.18.3,"Bumps @babel/preset-env from 7.14.2 to 7.14.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/preset-env""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",0
96,Fixed npm start errors,0.4807179,This build is no longer available due to a major bug,Bumps antd from 4.0.4 to 4.16.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
97,Set TreeNode children to null if no children,0.35785538,Fix: Handle XPath exception that was being thrown by xpath generation code,Bumps i18next from 19.9.2 to 20.3.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
98,Removed 'selectedPath' from Inspector state,0.47314093,Inspector for Web(view) improvements: ,Bumps eslint-plugin-import from 2.23.2 to 2.23.4. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
99,chore: move action calling style to two-line for clarity,0.38245392,Feature: Add interactive swipe and tap (#260),Bumps react from 16.14.0 to 17.0.2. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
100,Set savedSessions as empty array when undefined,0.45643812,"Fix: Filepath capabilities was being parsed as array, parses it to string ",Bumps concurrently from 5.3.0 to 6.2.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,0
101,chore: bump the version for release,0.7267703,feat: bump appium version to 1.19.0 beta,Bumps eslint-plugin-react-native from 3.10.0 to 3.11.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,1
102,set defaults for all settings in one place (fix #52),0.5609027,Fix: some persistent settings keys were not given defaults and caused issues e.g. saving presets (#52),Bumps dir-compare from 2.4.0 to 3.3.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,0
103,Remove unneeded form fields (#487),0.4967872,Fix: Debounce calls to selectElement (#325),Bumps sinon from 9.2.4 to 11.1.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
104,"If error occurs in inspector, return to /session",0.74188304,Fix: Do not quit attached session when closing the inspector (#134),Bumps eslint-plugin-promise from 4.3.1 to 5.1.0. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,1
105,Uses only immutableJS for session reducer,0.51450807,(Browserstack) Feat: add sessionName in the attach to session dropdown #1694,,0
106,Close appium session when window closed,0.8191069,Fix: Close session window when main window is closed,,1
107,Prepare for 1.6.0 (#522),0.50770843,Appium 1.18.0 beta.1,,0
108,tweak headspin panel (#977),0.5077818,feat: Make sure formatted caps stays visible in saved caps area #973,,0
109,feat: Update to electron 7 (#1189),0.70295227,Revert Electron back to 1.7.11,,1
110,Code cleanup,0.4368479,Fix: Debounce calls to selectElement (#325),,0
111,chore: use correct license in package jsons,0.43675122,Please use link to avoid codesign problem.,,0
112,fix: inspector container style (#1327),0.5715909,Fix: Resize inspector if it was previously too small (#225),,0
113,Rename capType from json_object to object prevent exception (#513),0.48899254,Feature: Can edit raw desired capabilities JSON string (#267),,0
114,Update translations (#929),0.879897,Update translations,,1
115,"When update download fails, provide a link instead",0.71785706,"Feature: When update fails to work automatically, show a link to the releases page",,1
116,Delete package.js and remove unused dependency,0.40825242,Fix: Remove unneeded ipc binding (#612),,0
117,Merge pull request #280 from jlipps/master,0.45817348,fix: get filePaths #1521,,0
118,Moved highlighter rect into it's own class,0.42214495,Feature: Add icon that copies source XML to clipboard,,0
119,Update package-lock,0.5579417,"Feature: When update fails to work automatically, show a link to the releases page",,0
120,chore(deps-dev): bump sinon from 9.0.1 to 9.0.2 (#1329),0.5726155,Bump Appium version to 1.20.0,,0
121,"refactor to make it easy to change all args not just host and port, and enable submit-by-enter",0.44399187,feat: Make sure to save server type change even without setting change #973,,0
122,feat: add roboticmobi tab to inspector tab (#1666),0.58458364,Feat: add UA in the header like appium-inspector/version,,0
123,Add interaction commands,0.48520488,Add actions that can be executed from Appium Desktop (7245fb6),,0
124,send caps from a selected test automatically to caps editor,0.4489215,feat: Make sure formatted caps stays visible in saved caps area #973,,0
125,"add saved tests modal and list+delete, playback still to come",0.4182632,Revert Sentry changes that were causing desired capabilities to not be saved (#904) (8e9adb6),,0
126,move components into their own directories for better organization,0.3984207,reduced dependency size (#769),fix getRunningSessions for BrowserStack & other cloud providers that use basicAuth use BROWSERSTACK_PORT env variable & set ssl to true if port is 443 use ternary operator,0
127,Add internationalization rules,0.47689393,🇨🇳 Chinese localization #923,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
128,Prepare for v1.2.0-beta.1 (#265),0.6638446,This beta includes:,,0
129,chore: Update translations (#1651),0.7821773,Update translations,,1
130,"move all app code into app dir, separate out by main and renderer",0.48850384,feat: replace internal Appium client from wd to web2driver,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
131,chore: update deps and package locks for monorepo and inspector,0.4679665,Fix: make 'connectHardwareKeyboard' capability true by default so that sims are interactable via the hardware keyboard when running under an Inspector session (#61),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
132,Can search for elements and shows results,0.6659008,Can select elements in the source and inspect their attributes,,0
133,ci: added CROWDIN_PROJECT_ID,0.42250368,Please use link to avoid codesign problem.,Bumps cross-env from 7.0.2 to 7.0.3. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
134,Previous commit,0.38363928,Revert Sentry changes that were causing desired capabilities to not be saved (#904) (8e9adb6),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
135,Feature: Edit the desired capabilities JSON string (#267),0.9600083,Feature: Can edit raw desired capabilities JSON string (#267),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,1
136,add ability to show caps for a test,0.60026026,feat: Make sure formatted caps stays visible in saved caps area #973,Split apps,0
137,Update spectron to the latest version 🚀 (#1019),0.5698597,Update Electron to version 3.0.3 (link) (#661),,0
138,Bump Appium to 1.8.1,0.9283129,Bump Appium version to 1.21.0,,1
139,"round out rest of command support, multiple element support, etc...",0.422655,No other changes in the functionality level.,,0
140,chore(deps): bump react from 16.14.0 to 17.0.2,0.570742,feat: Bump Appium version to 1.18.3,,0
141,"bit of styling, fixes, allow user selectable logs",0.57585543,Feature: Write raw logs to file that can be opened by user (#263),,0
142,chore: Add a link to the useful translation features (#1183),0.65906215,Translations,,0
143,Don't wait for progress to show download indicator,0.5470133,"Feature: When update fails to work automatically, show a link to the releases page",,0
144,Update css-loader to the latest version 🚀 (#690),0.6399442,Fix: improved markup and CSS in update window (#74),,0
145,Open config from menu,0.50392973,Feature: Can run SauceConnect from user interface (#280),,0
146,docs: add pt-bz translation (#1056),0.5965011,Update translations,,0
147,chore: move from greenkeeper to dependabot (#1283),0.41255996,reduced dependency size (#769),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
148,fix(shared): escape double quotes within a double quoted template query (#1221),0.37501284,Fix: Debounce calls to selectElement (#325),,0
149,Merge pull request #973 from jlipps/master,0.47405705,fix: get filePaths #1521,,0
150,recorder: clipboard,0.6419263,Can copy located element to clipboard (1724bc1),,0
151,Remove outdated electron-builder config,0.6183276,Fix: Replace electron-builder autoupdater with Zeit Hazel server plus native updater (#435),,0
152,ci: bump macOS version to 10.15 for weekly (#1389),0.59020126,Fix: Previous version had wrong Appium Version on Mac (1.6.4 instead of 1.6.5),,0
153,refactor: consolidate code that is shared between inspector and server,0.5060761,Inspector for Web  improvements: link link,,0
154,"Added 'select', 'swipe' and 'tap' modes",0.7060181,Feature: Add interactive swipe and tap (#260),fix to clear appium client instance fix w3c commands for context append comment,1
155,handle some react warnings and misc visual spruce-up,0.5114974,Provide more helpful error and success messages (0fe3551),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
156,Implement 'tap' functionality on inspector,0.53527653,Can call tap and sendKeys on elements,Bumps xpath from 0.0.27 to 0.0.32. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
157,fix: visibleProviders undefined exception (#909),0.57363087,Fix bug causing search results to not be highlighted #922,,0
