Index,Message,Description
44,chore(deps-dev): bump concurrently from 6.2.1 to 7.1.0 (#2010),Bumps concurrently from 6.2.1 to 7.1.0. - Release notes - Commits  updated-dependencies: - dependency-name: concurrently   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
45,chore(deps): bump axios from 0.21.1 to 0.26.1 (#2011),Bumps axios from 0.21.1 to 0.26.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: axios   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
46,chore: update electron to v8 (#2009),  chore: bump electron to v8   bump spectron as well 
47,feat: add translation for lambdatest (#2006),
48,docs: address codesign --deep --sign - Appium\ Server\ GUI.app,
49,chore: bump version number,
50,chore: bump appium 1.22.3 (#1993),
51,chore(deps): bump ansi-to-html from 0.6.15 to 0.7.2 (#1923),Bumps ansi-to-html from 0.6.15 to 0.7.2. - Release notes - Commits  updated-dependencies: - dependency-name: ansi-to-html   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com
52,chore(deps): bump plist from 3.0.4 to 3.0.5 (#1992),Bumps plist from 3.0.4 to 3.0.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: plist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com
53,chore(deps): bump jszip from 3.6.0 to 3.7.1 (#1972),Bumps jszip from 3.6.0 to 3.7.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: jszip   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
54,chore(deps): bump electron-log from 4.4.1 to 4.4.6 (#1981),Bumps electron-log from 4.4.1 to 4.4.6. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: electron-log   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
55,chore(deps-dev): bump eslint-plugin-mocha from 9.0.0 to 10.0.3 (#1982),Bumps eslint-plugin-mocha from 9.0.0 to 10.0.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint-plugin-mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
56,chore(deps): bump plist from 3.0.2 to 3.0.4 (#1987),Bumps plist from 3.0.2 to 3.0.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: plist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
57,docs: update xattr,
58,chore(deps): bump follow-redirects from 1.14.1 to 1.14.8 (#1978),Bumps follow-redirects from 1.14.1 to 1.14.8. - Release notes - Commits  updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
59,chore(deps-dev): bump @babel/core from 7.15.0 to 7.17.2 (#1975),"Bumps @babel/core from 7.15.0 to 7.17.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@babel/core""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com"
60,chore: bump appium version to 1.22.2 (#1977),
61,chore(deps-dev): bump mocha-junit-reporter from 2.0.0 to 2.0.2 (#1974),Bumps mocha-junit-reporter from 2.0.0 to 2.0.2. - Release notes - Commits  updated-dependencies: - dependency-name: mocha-junit-reporter   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
62,chore(deps): bump shelljs from 0.8.4 to 0.8.5 (#1971),Bumps shelljs from 0.8.4 to 0.8.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: shelljs   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
63,chore: update node ver (#1976),
64,chore(deps): bump axios from 0.21.1 to 0.24.0 (#1961),Bumps axios from 0.21.1 to 0.24.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: axios   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
65,chore(deps-dev): bump husky from 5.2.0 to 7.0.4 (#1928),Bumps husky from 5.2.0 to 7.0.4. - Release notes - Commits  updated-dependencies: - dependency-name: husky   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
66,chore(deps-dev): bump mocha from 8.4.0 to 9.2.0 (#1965),Bumps mocha from 8.4.0 to 9.2.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
67,chore(deps): bump react-router from 5.2.0 to 5.2.1 (#1891),Bumps react-router from 5.2.0 to 5.2.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: react-router   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
68,chore(deps-dev): bump eslint-plugin-react from 7.24.0 to 7.28.0 (#1951),Bumps eslint-plugin-react from 7.24.0 to 7.28.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint-plugin-react   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
69,chore: Update translations (#1964),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
70,chore(deps): bump follow-redirects from 1.14.1 to 1.14.7 (#1960),Bumps follow-redirects from 1.14.1 to 1.14.7. - Release notes - Commits  updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
71,chore: Update translations (#1957),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
72,chore: Update translations (#1948),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
73,chore: Update translations (#1946),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
74,ci: update nodejs versions,
75,chore: update nodejs version in ci.yml,
76,chore: bump appium version (#1912),
77,chore: Update translations (#1904),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
78,chore: remove test object,
79,chore: Update translations (#1899),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
80,docs: update docs based on the new appium inspector situation,
81,chore: Update translations (#1890),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
82,fix: update translations with note about cors for inspector,
83,fix: have new session button open inspector webpage,
84,chore: ensure react-dom is compatible with react version,
85,fix: add some locale strings for inspector actions,
86,ci: update create-pull-request (#1861),
87,chore: Update translations (#1860),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
88,chore: add translation for inspector,
89,chore(deps-dev): bump eslint-plugin-mocha from 8.1.0 to 9.0.0,Bumps eslint-plugin-mocha from 8.1.0 to 9.0.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint-plugin-mocha   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com
90,chore(deps-dev): bump eslint-plugin-react from 7.23.2 to 7.24.0,Bumps eslint-plugin-react from 7.23.2 to 7.24.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eslint-plugin-react   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
91,chore(deps): bump antd from 4.16.1 to 4.16.2,Bumps antd from 4.16.1 to 4.16.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: antd   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
92,chore(deps): bump react-i18next from 11.8.15 to 11.11.0,Bumps react-i18next from 11.8.15 to 11.11.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: react-i18next   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
93,chore(deps-dev): bump @babel/eslint-parser from 7.14.3 to 7.14.5,"Bumps @babel/eslint-parser from 7.14.3 to 7.14.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@babel/eslint-parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
94,chore(deps-dev): bump @babel/preset-react from 7.13.13 to 7.14.5,"Bumps @babel/preset-react from 7.13.13 to 7.14.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@babel/preset-react""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com"
95,chore(deps-dev): bump @babel/preset-env from 7.14.2 to 7.14.5,"Bumps @babel/preset-env from 7.14.2 to 7.14.5. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@babel/preset-env""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
96,chore(deps): bump antd from 4.0.4 to 4.16.1,Bumps antd from 4.0.4 to 4.16.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
97,chore(deps): bump i18next from 19.9.2 to 20.3.1,Bumps i18next from 19.9.2 to 20.3.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
98,chore(deps-dev): bump eslint-plugin-import from 2.23.2 to 2.23.4,Bumps eslint-plugin-import from 2.23.2 to 2.23.4. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
99,chore(deps): bump react from 16.14.0 to 17.0.2,Bumps react from 16.14.0 to 17.0.2. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
100,chore(deps-dev): bump concurrently from 5.3.0 to 6.2.0,Bumps concurrently from 5.3.0 to 6.2.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com
101,chore(deps-dev): bump eslint-plugin-react-native from 3.10.0 to 3.11.0,Bumps eslint-plugin-react-native from 3.10.0 to 3.11.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com
102,chore(deps-dev): bump dir-compare from 2.4.0 to 3.3.0,Bumps dir-compare from 2.4.0 to 3.3.0. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com
103,chore(deps-dev): bump sinon from 9.2.4 to 11.1.1,Bumps sinon from 9.2.4 to 11.1.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
104,chore(deps-dev): bump eslint-plugin-promise from 4.3.1 to 5.1.0,Bumps eslint-plugin-promise from 4.3.1 to 5.1.0. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com
105,ci: ensure we now completely check out submodules,
106,refactor: move crowdin sync to gui-common,
107,ci: turn e2e tests back on since we found them,
108,ci: turn off e2e tests for CI since there are none for this app,
109,ci: move CI jobs back to just dealing with single app,
110,fix: use splash stylesheet for splash window,
111,refactor: pull in gui-libs as submodule instead of NPM package,
112,refactor: for main process and test code use gui-libs dist transpiled code,
113,refactor: update references to shared code to use gui-libs package,
114,refactor: bring in gui-libs dep and use it to generate babel config,
115,refactor: pull shared and inspector code out of this repo and bring server back to top level,
116,ci: tweak various properties to get apps bundled separately,
117,feat: Update Appium's oxygen recorder (#1747),
118,feat: add sessionName in the attach to session dropdown (#1744),
119,fix: stale session ids being displayed in the attach to session dropdown (to master) (#1736),
120,fix(test): handle case where selected element tap is disabled,
121,"fix: make element interaction UI better, and remove ugly timings buttons",
122,fix: improve css styles for sizing and scrolling in new session page,
123,"fix: better positioning for cloud images, and better headspin image size",
124,fix: don't show automatic server tab anymore,
125,chore: update deps and package locks for monorepo and inspector,
126,fix: getRunningSessions for BrowserStack & other cloud providers that use basicAuth (#1691),  fix getRunningSessions for BrowserStack & other cloud providers that use basicAuth   use BROWSERSTACK_PORT env variable & set ssl to true if port is 443   use ternary operator 
127,chore: Update translations (#1667),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
128,feat: add roboticmobi tab to inspector tab (#1666),
129,docs: add security warning as troubleshooting,
130,chore: Update translations (#1651),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
131,chore: Update translations (#1642),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
132,add: a link to translation project in help for non-macOS env (#1639),
133,chore(deps-dev): bump cross-env from 7.0.2 to 7.0.3 (#1641),Bumps cross-env from 7.0.2 to 7.0.3. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
134,chore: Update translations (#1638),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
135,chore: Update translations (#1633),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
136,Merge pull request #1614 from jlipps/split-apps,Split apps
137,test: update e2e tests to take account of splash page window,
138,docs: update usage and dev docs based on split app reality,
139,ci: update ci templates for split app design,
140,chore: remove unused merge file,
141,feat: add splash windows for both inspector and server,
142,fix: add icons for inspector app,
143,chore: use correct license in package jsons,
144,Merge branch 'master' into split-apps,
145,chore: apply 5c86bc7c67c23a401868041fb6c0211733b61d7c to split app repo on behalf of @kazucocoa,
146,chore: apply ce896f4ab328c2a1d25266ddd13d70ba1da7e5f7 to split app repo on behalf of @kazucocoa,
147,chore: Update translations (#1597),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
148,chore: prune dependencies for each app,
149,test: port tests to new structure,
150,fix: get css working for inspector with postcss-modules,
151,refactor: update inspector code to be self-standing,
152,refactor: consolidate code that is shared between inspector and server,
153,fix: add appium prefix for w3c capabilities (#1604),
154,fix: send wrong session id (#1602),  fix to clear appium client instance   fix w3c commands for context   append comment 
155,chore: Update translations (#1597),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
156,chore(deps): bump xpath from 0.0.27 to 0.0.32 (#1595),Bumps xpath from 0.0.27 to 0.0.32. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
157,chore: add helpers for spreading i18n info to both apps,
158,chore: clean out unused modules,
159,chore: add umbrella package.json for dev tasks,
160,refactor: move app code into server directory,
161,feat: bump appium (#1593),
162,fix: standardize on Date.now() for creating timestamps,
163,fix: get rid of js alert on quit,there is no reason to require the new session window to close just because the server window also closes
164,chore: move action calling style to two-line for clarity,
165,feat: move away from using main for client calls; use a web based client in renderer instead.,
166,chore(deps-dev): bump sinon from 9.0.2 to 9.2.0 (#1589),Bumps sinon from 9.0.2 to 9.2.0. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
167,chore: bump version to 1.18.3,
168,feat: bump appium to 1.18.3 (#1586),
169,chore(deps): bump i18next from 19.4.5 to 19.8.1 (#1583),Bumps i18next from 19.4.5 to 19.8.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
170,feat: bunmp AD to 1.18.2 (#1580),
171,feat: bump appium version to 1.18.2 (#1579),
172,chore: Update translations (#1572),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
173,chore(deps): bump moment from 2.25.3 to 2.28.0 (#1563),Bumps moment from 2.25.3 to 2.28.0. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
174,chore(deps): bump highlight.js from 9.18.1 to 10.2.0 (#1562),Bumps highlight.js from 9.18.1 to 10.2.0. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
175,chore(deps-dev): bump mocha from 7.1.2 to 8.1.3 (#1536),Bumps mocha from 7.1.2 to 8.1.3. - Release notes - Changelog - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
176,chore: Update Dependabot config file (#1547),Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
177,chore: bump the version to 1.18.0-2 (#1545),
178,chore: Update translations (#1533),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
179,chore: update body of weekly translation update,
180,feat: add Sauce Labs Unified Platform endpoint for US (#1532),  feat: add Sauce Labs Unified Platform endpoint for US   add tooltip   fix layout   chore: fix translation.json   chore: fix translation.json 
181,chore: bump wd (#1531),
182,fix: get filePaths (#1521),  fix: get filePaths   tweak   return value already inputted in cancel   tweak   rename   simplify 
183,feat: add jpeg consumer (#1512),
184,chore: Update translations (#1510),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
185,chore: bump to 1.18.0-1 as a hotfix (#1508),  bump to 1.18.0-1 as a hotfix   update lock 
186,chore: update docs with new functionality (#1502),  chore: update docs with new functionality   chore: fix remarks 
187,fix: attach to an existing session (#1506),
188,chore(deps): [security] bump elliptic from 6.5.2 to 6.5.3 (#1500),Bumps elliptic from 6.5.2 to 6.5.3. This update includes a security fix. - Release notes - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
189,ci: follows new param (#1495),  ci: follows new param   update pr validation too 
190,chore: Update translations (#1497),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com
191,ci: Update translation.yml (#1494),
192,ci: introduce GitHub Actions for weekly translation job (#1490),  ci: introduce GitHib Actions for weekly translation job   remove a comment   ci: use H 
193,chore: bump AD version to 1.18.0 (#1482),
194,ci: Update weekly.js.yml (#1489),
195,ci: added CROWDIN_PROJECT_ID,
196,ci: Create weekly.js.yml (#1487),  Create weekly.js.yml   add workflow_dispatch to run this manually 
197,chore: sync crowdin (#1486),
198,fix: undefined length (#1484),
199,fix: print the original error response if given error message has the original error for findElements (#1474),  fix: add original error for findElements failure   update comment   add '' 
200,fix: add temporary fix for android hybrid apps and restructure code (#1480),
201,chore: bump appium to 1.18.0 (#1479),
202,chore(deps): bump lodash from 4.17.15 to 4.17.19 (#1471),Bumps lodash from 4.17.15 to 4.17.19. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
203,chore(deps): bump appium-support from 2.47.1 to 2.48.1 (#1466),Bumps appium-support from 2.47.1 to 2.48.1. - Release notes - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
204,chore(deps-dev): bump appium-fake-driver from 0.9.0 to 1.0.0 (#1430),Bumps appium-fake-driver from 0.9.0 to 1.0.0. - Release notes - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
205,feat: add new locators (#1452),  feat: add locator timings   chore: update code after feedback   chore: update code after feedback   feat: add -ios class chain-selector support   fix issue with incorrect find and key passing   chore: refactor constructing class chain   test: fix unit test   chore: revert let   feat: add predicate string   fix selected element table with to 100%   chore: fix text   chore: fixes based on feedback   chore: add error log 
206,fix: keep compatibility in _getContextsSourceAndScreenshot for platforms which have no context commands (#1462),  fix: keep compatibility   add docstring   rename   tweak   simplify to check get contexts 
207,chore: bump appium 1.18.0 beta 1 (#1461),
208,chore: Bump beta 1.18.0 (#1451),  bump version to 1.18.0-beta.0   run npm install --save appium@1.18.0-beta.0   remove ^ 
209,fix: no children in source (#1450),  fix no children   simplify   remove ? operator   add {}   fix lint 
210,feat: add Allow CORS in advanced tab (#1446),
211,feat: add locator timings (#1448),  feat: add locator timings   chore: update code after feedback   chore: update code after feedback 
212,feat: add webview inspector (#1443),  feat: implement context switching   feat: add element position to the html source   feat: first stab at detecting elements in iOS   add warning   chore: optimize html for inspector   code refactoring   add title to webviews in selector   feat: add tooltip to webview selector   update html cleaner   feat: add Android support   automatically download chromedriver  refactor get source order refactor helpers and add webview helpers refactor parsing HTML source  default iOS url   feat: add start in correct context   remove starting in native context for browsers and allow using autoWebview property  add NATIVE_APP const fix object deconstruction issue with iOS  add start browser with initial url for iOS and Android   chore: code cleanup   clean up adjusted code   fix all linting warnings in non touched files   feat: auto enable relaxed security   remove default auto chrome download for allowInsecure prop  fixed key for context selectbox tooltip  added tooltip to relaxed security checkbox   chore: fix after feedback 
213,chore(deps): bump uuid from 7.0.3 to 8.2.0 (#1444),Bumps uuid from 7.0.3 to 8.2.0. - Release notes - Changelog - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
214,feat: Add Webview notification in Selected Element (#1438),  feat: add includeSafariInWebviews cap if safari is started   feat: add warning if people want to inspect webviews in native context   chore: update after feedback 
215,feat: Add Windows 32-bit binary and zip (#1414),"  add zip for windows target, add ia32 arch for windows   tweak script   windows: override buildScript only on Windows   bunmp the ad version to beta for test   revert the bump "
216,chore(deps): bump i18next from 19.4.4 to 19.4.5 (#1400),Bumps i18next from 19.4.4 to 19.4.5. - Release notes - Changelog - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
217,feat: bump version to run ci (#1413),
218,fix: npm install --save wd@1.11.2 (#1412),  npm install --save wd@1.11.2   remove ^ 
219,ci: bump macOS version to 10.15 for weekly (#1389),
220,fix: build error (#1386),
221,Update package-lock,
222,feat: Update to Appium v1.17.1 #1379,
