Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Dark mode fixes,0.8666126,Lots of dark mode fixes.,,1
2.56.0,0.53676444,Reverted v2.35. It unfortunately had some crashes...,,0
CI: Misc improvements,0.4239025,User-interface improvements (#757)  93d0a1b,,0
CI: Run tests on ubuntu-latest,0.43018246,For testing only,,0
"Fix ""Show Message Buttons"" option",1.0000005,"Fix ""Show Message Buttons"" option",,1
Remove all CSS related to old design,1.0000001,Remove all CSS related to old design,,1
Cookies notification: Make accept button visible on smaller windows,0.9216234,Fix cookies notification accept button being hidden on smaller windows,Caprine's default window size is too small and the notification appears cropped. This commit makes it fit.,1
Update to the new Messenger icon (2020),1.0000001,Update to the new Messenger icon (2020),Fixes #1612,1
Add maintainers in about dialog (#1874),0.7259706,Add maintainers in about dialog by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1874,,1
Add @mquevill as maintainer,0.5705894,Add maintainers in about dialog by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1874,,0
"Add todo for ""Autoplay Videos""",0.64507747,Allow disabling video autoplay (#738)  a252ca9,,0
"Hide ""Autoplay Videos""",0.8180125,Allow disabling video autoplay (#738)  a252ca9,"Hides ""Autoplay Videos"" until #1845 is resolved.",1
Fix CI build step (#1872),0.691038,Fix ci build step by @dusansimic in https://github.com/sindresorhus/caprine/pull/1872,,0
Dark mode: Fix scrollbar track,0.5398073,- Fix dark mode UI issues (#958)  e1b3ecb,,0
Fix linting,0.3676044,Various styling fixes  32b6bce 406ab6e,,0
Restore snap publishing (#1870),0.5373665,Hopefully fix the Ubuntu Snap version of Caprine  7965b36,,0
"Fix adaptive, hidden and narrow sidebar",1.0000001,"Fix adaptive, hidden and narrow sidebar",,1
Dark mode: Fix cookies notification icons,0.8388767,Add dark mode to cookies notification,,1
Meta tweaks,0.5437049,Various tweaks (#1267)  4493b08,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,0
Make non-working features invisible for end users,0.830704,Hide all non-working features,It makes all broken features visible only in development. This helps reduce visual clutter.,1
"Dark mode: Fix ""Keep me signed in"" checkbox",0.6570722,"Persist the ""Keep me signed in"" choice (#698)  1a5234b",,0
Dark mode: Login CSS cleanup,0.71317995,Fix login button color in dark mode,,1
Fix newline,0.31218633,Fix too narrow conversation header (#910)  f8cb7bb,,0
Simplify OS checks,0.37266934,Linux:,,0
Notify user when a new update is available,0.9093449,Display a notification when a new update is available,,1
Add option to disable automatic updates,0.9999999,Add option to disable automatic updates,,1
Enable auto-updates on Linux,1.0000001,Enable auto-updates on Linux,,1
"Make ""Allow cookies"" button blue in light theme too",0.70241827,Add dark mode to cookies notification,,1
"Remove ""Allow All Cookies"" button",0.9380857,"Remove ""Allow All Cookies"" button to increase privacy",Increases privacy because tracking cookies are rejected.,1
Add dark mode to cookies notification,1.0,Add dark mode to cookies notification,,1
Login: Do not show outline in input fields,0.52049685,Improve the dark mode in the login flow (#1049)  5c26e5c,,0
Dark mode: Fix login button color,0.98834014,Fix login button color in dark mode,,1
Fix private mode,1.0,Fix private mode,,1
Hide new Messenger app banner (lefterisgar#2),0.88483346,Hide new Messenger app banner by @1nikolas in https://github.com/lefterisgar/caprine/pull/2,,1
Improved scrollbar theme (#1638),0.92641944,Improved scrollbar theme by @mquevill in #1638,Co-authored-by: Michael Quevillon mquevill@nd.edu,1
Update Electron to 20,0.82831633,Update Electron  19e0423 8ccc556,Co-authored-by: Nikolas Spiridakis 1nikolas@hotmail.gr Co-authored-by: Nehal Patel nehalvpatels+github@gmail.com,1
Fix release publishing (#1867),0.43880922,Bugfixes,,0
Add @lefterisgar and @1nikolas as maintainers,0.6019299,New Maintainers,,0
Allow negative indexed menu items (#1853),0.36859703,Simplify the menu implementation.  5a1cb31,,0
Fix shortcuts (#1851),0.653715,"Fix ""Insert Text"" keyboard shortcut (#1118)  343705e",,0
Fix search icon dark mode color in right sidebar (#1849),0.89121306,Fix search icon dark mode color in right sidebar by @dusansimic in https://github.com/sindresorhus/caprine/pull/1849,,1
2.55.7,0.44493496,Reverted v2.35. It unfortunately had some crashes...,,0
Dark mode fixes (#1846),0.84381014,- Fix dark mode UI issues (#958)  e1b3ecb,,1
Update links from http to https (#1847),0.4475284,Fix emoji URL (#756)  50590a7,,0
2.55.6,0.47657925,Reverted v2.35. It unfortunately had some crashes...,,0
Apply dark mode coloring to preference icons (#1844),0.70124525,Fix dark mode icons by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1942,,1
2.55.5,0.3711247,Bump Electron to 0.37.2.,,0
Disable Snapcraft build temporarily,0.5269193,Fix camera access in Snap builds (#813)  d13c792,,0
Fix workaround for notifications (#1822),0.8373827,Fix notifications (#717)  f0ea2be,,1
Update settings menu and close button elements (#1815),0.6208862,Fix settings menu (#916)  9aa0ca7,,0
Fix dark button for New Room (#1799),0.9005332,"Fix ""Create new room"" button in dark mode (#1373)  155a9c7",,1
Fix hidden sidebar and narrow sidebar (#1800),0.8533035,"Fix adaptive, hidden and narrow sidebar",,1
2.55.4,0.49144268,Reverted v2.35. It unfortunately had some crashes...,,0
Fix Snap publishing (#1796),0.65547466,Hopefully fix the Ubuntu Snap version of Caprine  7965b36,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,0
2.55.3,0.5146029,Reverted v2.35. It unfortunately had some crashes...,,0
Use 'emoji' font alias on Linux for system emoji (#1777),0.6234706,Improve cropping for system emoji on some Linux systems (#1000)  b44a3fb,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,0
Workaround for notifications (#1739),0.7478047,Fix notifications (#717)  f0ea2be,,1
Fix hiding search in compact mode (#1781),0.4664752,Fix private mode not hiding all private info (#1374)  9a7978a,,0
Bump electron-builder version (#1768),0.76900226,Bump Electron to latest release,,1
2.55.2,0.52553356,Reverted v2.35. It unfortunately had some crashes...,,0
Fix modal windows (#1757),0.51933956,Fix window resizing/moving issues and add ability to disable vibrancy (#727)  ff456ff,,0
2.55.1,0.54765826,Reverted v2.35. It unfortunately had some crashes...,,0
Fix dark mode (#1742),0.9518033,Fix dark mode (#1742)  25aee78,,1
Fix names in private mode (#1733),0.9339808,Fix names in private mode (#1733)  8387833,,1
Fix concatenation of spell check languages (#1728),0.6980283,Fix spell check languages (#1728)  734ba9b,,0
2.55.0,0.554136,Reverted v2.35. It unfortunately had some crashes...,,0
"Hide new ""Install Messenger App"" banner (#1717)",0.8692153,"Remove new ""Install Messenger app"" banner by @mquevill in https://github.com/sindresorhus/caprine/pull/1899",,1
Update xo to 0.39.0 and address lint errors (#1723),0.42928898,Update Electron  19e0423 8ccc556,,0
Display prompt for Always on Top setting (#1687),0.51718044,Fix Always on Top after tray toggling on KDE Plasma (#1150)  2b2be20,,0
Hide official Messenger banner on Mac (#1685),0.8305242,Hide new Messenger app banner by @1nikolas in https://github.com/lefterisgar/caprine/pull/2,,1
2.54.1,0.5389136,Reverted v2.35. It unfortunately had some crashes...,,0
Stop check for new design on DOM ready (#1681),0.41741577,Remove all CSS related to old design,,0
Add a temporary workaround for brokend website ui (#1683),0.42161518,UI improvements 30d83cc 06b7c4e 95d1c9d 5abf9a2,,0
2.54.0,0.54578483,Reverted v2.35. It unfortunately had some crashes...,,0
Improve about window information and icon (#1674),0.8040756,Improve about window information and icon in https://github.com/sindresorhus/caprine/pull/1674,,1
Migrate darkMode settings in config file (#1665),0.66568834,Dark mode tweak (#971)  8800b60,,0
Scale videos down to max width (#1655),0.80577147,Scale videos down to max width in https://github.com/sindresorhus/caprine/pull/1655,,1
Use getIconPath() in tray.setBadge() (#1661),0.6732585,"Fix the ""Show Tray Icon"" preference (#1215)  b386b23",,0
Add the ability to copy image address (#1671),0.7631609,Add the ability to copy image address in https://github.com/sindresorhus/caprine/pull/1671,,1
Fix preferences selector for removing hide-preferences-window class (#1646),0.6888813,- Fix preference toggle when sidebar is hidden (#957)  2e4ad98,,0
Eliminate check for darkMode setting (#1653),0.6987883,Dark mode tweak (#971)  8800b60,,0
Blur active contacts in private mode (#1649),0.8962567,Blur active contacts in private mode in https://github.com/sindresorhus/caprine/pull/1649,,1
Combine system appearance and dark mode settings (#1637),0.7711976,Add setting to follow system dark mode on macOS (#697)  d81ebdd,,1
2.53.0,0.56407595,Reverted v2.35. It unfortunately had some crashes...,,0
Fix preferences selector (#1632),0.67003554,Fix the preferences window and other overlays (#970)  ec3e687,,0
Apply dark mode to all new nodes (#1629),0.6539848,Dark mode tweak (#971)  8800b60,,0
Use full path to check that CSS file exists (#1633),0.45144242,Fix custom css default file by @dusansimic in https://github.com/sindresorhus/caprine/pull/1903,,0
Check that CSS file exists (for new design) (#1630),0.50254047,Remove all CSS related to old design,,0
Add linting for new design CSS (#1628),0.52826214,Various styling fixes  32b6bce 406ab6e,,0
Hide banner for Messenger App for Windows (#1621),0.85283375,Hide new Messenger app banner by @1nikolas in https://github.com/lefterisgar/caprine/pull/2,,1
Refactor GitHub Actions (#1627),0.3590533,Remove code related to old design by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1879,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,0
Create draggable region only on macOS (#1626),0.63215804,Fix draggable region (#1024)  9a692db,,0
2.52.4,0.483188,Reverted v2.35. It unfortunately had some crashes...,,0
Update lockfile version,0.36253527,Update dependencies,,0
Fix top gap (#1605),0.49218696,Fix too strong chat title bar bottom border (#921)  04115c7,,0
Hide additional attributes in private mode (#1618),0.65561754,Fix private mode not hiding all private info (#1374)  9a7978a,,0
Disable ESLint max-params for async arrow function (#1619),0.26892594,Upgrade to Electron 0.36.6 https://github.com/sindresorhus/caprine/commit/9a9f9f3634fa4d99f15534658dd7cb628975dfce,,0
Improve a type annotation (#1616),0.37150097,User-interface improvements (#757)  93d0a1b,,0
Show restart dialog on the current window (#1617),0.5576744,Add Quit on Window Close setting.  61e176a,,0
2.52.3,0.5005945,Reverted v2.35. It unfortunately had some crashes...,,0
"Fix ""Hide Names and Avatars"" (#1600)",0.63249123,"Add option to hide names and avatars in the UI (You can find it in the ""View"" menu) (#787)  44e9c10",Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,0
Fix next and previous conversation shortcut (#1596),0.7589108,Fix conversation switching keyboard shortcuts.,,1
Add Fedora install instructions (#1599),0.4443892,Install,,0
Add PDF version of the app icon,0.5667917,New app icon  ff22d80,,0
2.52.2,0.5198335,Reverted v2.35. It unfortunately had some crashes...,,0
"Fix reaction, delete and view image bugs (#1589)",0.4521808,"Fix insert buttons (GIF, Sticker, Emoji, Files)",,0
2.52.1,0.51725674,Reverted v2.35. It unfortunately had some crashes...,,0
Fix dark mode not being set on startup (#1569),0.77507704,Fix dark mode being disabled on non-macOS systems (#735)  21a6bb1,,1
Fix conversation list on new UI (#1557),0.6789216,Fix “Hide conversation” menu item (#1202)  0b92e74,,0
Fix dark mode style on different locale (#1572),0.6842065,Fix dark mode (#1742)  25aee78,,0
Fix preferences opening on startup (#1552),0.7524626,Hide the preferences dialog during startup (#716)  cd6f7e1,Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
Fix private mode on new design (#1559),0.8033997,Fix private mode,,1
Fix shortcuts on non-US locales (#1560),0.5069246,"Fix ""Insert Text"" keyboard shortcut (#1118)  343705e",,0
Fix Search in Conversation menu option (#1546),0.7784554,"Fix ""Find Conversation"" feature",,1
Hide disabled scroll bar (#1545),0.55574137,- Fix dragging scrollbar when app is zoomed (#962)  ed5772b,,0
2.52.0,0.5305016,Reverted v2.35. It unfortunately had some crashes...,,0
Fix Caprine features on new UI (#1514),0.78174603,Fix macOS ui by @dusansimic in https://github.com/sindresorhus/caprine/pull/2014,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Fix Homebrew install command,0.43930227,Homebrew Cask users can upgrade by running:,,0
Fix dark mode on new Messenger UI (#1500),0.7379246,- Fix dark mode UI issues (#958)  e1b3ecb,,1
Add switch logic for Messenger UI (#1489),0.6009574,Fix Show Message Buttons feature when switching conversations (#803)  766bd9f,,0
2.51.2,0.57763076,Reverted v2.35. It unfortunately had some crashes...,,0
Fix Windows icon (#1455),0.8187772,Fix the app icon on Windows (#1455)  2d1511c,,1
2.51.1,0.5942594,Reverted v2.35. It unfortunately had some crashes...,,0
Move to GitHub Actions,0.23732208,Fix ci build step by @dusansimic in https://github.com/sindresorhus/caprine/pull/1872,,0
Update dependencies,1.0000002,Update dependencies,,1
Fix scroll bar in message box (#1444),0.7611055,Fix autoscroll on new messages (#1382)  e94f36e,,1
Fix dark mode (#1437),0.9397329,Fix dark mode (#1742)  25aee78,,1
2.51.0,0.5980915,Reverted v2.35. It unfortunately had some crashes...,,0
Upgrade dependencies,0.8660702,Update dependencies,,1
Manually specify sized icons for Linux .deb (#1420),0.64914346,Fix app icon for Linux .deb (#1420)  a0a0ae0,,0
Add menu item to relaunch Caprine (#1410),0.97440207,Add menu item to relaunch Caprine (#1410)  a312084,,1
Actually use the new icon,0.6643063,New app icon 💄✨  709ea23,Fixes #1419,0
2.50.0,0.5629354,Reverted v2.35. It unfortunately had some crashes...,,0
Fix 2FA login issue (#1417),0.9673743,Fix 2FA login issue (#1417)  0207464,,1
New icon,0.7689402,New app icon 💄✨  709ea23,,1
2.49.0,0.5866623,Reverted v2.35. It unfortunately had some crashes...,,0
2.48.0,0.58473325,Reverted v2.35. It unfortunately had some crashes...,,0
Fix issue with access to camera/microphone,0.82409555,Fix issue with access to camera/microphone  afb1404,Closes #1363 Fixes #1128 Fixes #1082 Fixes #1361,1
Fix private mode not hiding all private info (#1374),0.976289,Fix private mode not hiding all private info (#1374)  9a7978a,,1
Fix autoscroll on new messages (#1382),0.9848974,Fix autoscroll on new messages (#1382)  e94f36e,Co-authored-by: Franco fbianconi@gmail.com Co-authored-by: Sindre Sorhus sindresorhus@gmail.com Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
2.47.0,0.60326546,Reverted v2.35. It unfortunately had some crashes...,,0
Fix unread badge not always updating (#1360),0.96257937,Fix unread badge not always updating (#1360)  ac22f08,,1
"Fix ""Create new room"" button in dark mode (#1373)",0.99066067,"Fix ""Create new room"" button in dark mode (#1373)  155a9c7",,1
Add option to disable spell checker (#1369),0.97267056,Add option to disable spell checker (#1369)  e7c37e5,,1
2.46.0,0.5818427,Reverted v2.35. It unfortunately had some crashes...,,0
Add spell-checking (#1336),0.94357646,Add spell-checking (#1336)  1914dab,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Add readme note,0.401145,Add maintainers in about dialog by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1874,,0
2.45.0,0.4674573,Reverted v2.35. It unfortunately had some crashes...,,0
Add darkmode style for called you/you called icons,0.9149059,"Add dark mode style for ""called you""/""you called"" icons  b2c33c2",,1
Fix making and receiving calls (#1325),0.94757915,Fix making and receiving calls (#1325)  b69ed37,Workaround electron's location handling on new windows [window.open()],1
Fix sidebar config migration (#1306),0.9799017,Fix sidebar config migration (#1306)  10205a2,Co-authored-by: Daniel Andrei daniel.andrei@ezugi.com,1
Automatically reset window position when disconnecting secondar… (#1280),0.8683278,Automatically reset window position when disconnecting secondary screen (#1280)  dce6cfd,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Persist maximized state and handle title bar double-click (#1270),0.9703716,Persist maximized state and handle title bar double-click (#1270)  dc392dc,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Add remember option checkbox in private mode dialog (#1289),0.9316791,Add remember option checkbox in private mode dialog (#1289)  9197321,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Add preference to mute call ringtone (#1273),0.94172645,Add preference to mute call ringtone (#1273)  5daa934,,1
Various tweaks (#1267),0.9374559,Various tweaks (#1267)  4493b08,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Use electron-better-ipc instead of the built-in IPC (#1266),0.706694,Updated Electron to 1.7.9.,Co-authored-by: Jarek Radosz jradosz@gmail.com,1
2.44.0,0.5904074,Reverted v2.35. It unfortunately had some crashes...,,0
Fix indentation,0.31407815,Fix too narrow conversation header (#910)  f8cb7bb,,0
"Fix the ""Show Tray Icon"" preference (#1215)",0.97066367,"Fix the ""Show Tray Icon"" preference (#1215)  b386b23",Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Fix badge notification bug when private mode is enabled (#1260),0.9864379,Fix badge notification bug when private mode is enabled (#1260)  4c56e81,Co-authored-by: Jarek Radosz jradosz@gmail.com,1
Fix the dark-mode vibrancy login screen,0.92878044,Fix dark mode vibrancy in the login screen  26076e3,,1
Import the TouchBar code only on macOS,0.45946562,Make the Touch Bar respect private mode (#1138)  ea8015e,,0
Fix the emoji picker crash (#1255),0.9779418,Fix the emoji picker crash (#1255)  7236196,,1
2.43.0,0.529996,Reverted v2.35. It unfortunately had some crashes...,,0
Upgrade dependencies.,0.82751626,Update dependencies,,1
Improve the dark mode,0.88997066,Improve the dark mode  4b9808c, the dot before timestamp in the contact list embed URL forward message button,1
Fix vibrancy issue on app refresh (#1250),0.97688586,Fix vibrancy issue on app refresh (#1250)  1598309,,1
2.42.1,0.6012223,Reverted v2.35. It unfortunately had some crashes...,,0
Use https to make package.json linters happy,0.2316506,Fix open links issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2007,,0
Fix setDarkMode loop on macOS (#1247),0.9897964,Fix setDarkMode loop on macOS (#1247)  1dfe546,,1
2.42.0,0.6083261,Reverted v2.35. It unfortunately had some crashes...,,0
Fix “Hide conversation” menu item (#1202),0.97717476,Fix “Hide conversation” menu item (#1202)  0b92e74,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
Fix a bug that prevents the tray icon from showing (#1217),0.98601526,Fix a bug that prevents the tray icon from showing (#1217)  602c8d1,,1
Make Touch Bar respect private mode even after selecting a new conversation (#1201),0.93148285,Make Touch Bar respect private mode even after selecting a new conversation (#1201)  6134294,,1
Fix issue where people list item color was not selected (#1221),0.9893422,Fix an issue where people list item color was not selected (#1221)  9c11bd5,,1
Update @typescript-eslint/parser,0.5403945,Rewrite the app in TypeScript (#745)  3ec8c6b,,0
Update minor dependencies,0.90344596,Update dependencies,,1
Update electron to 7.1.4,0.8374725,Update to Electron 7 (#1157)  833c42b,,1
"Fix the ""thumbs up"" mask during animation",0.364416,Fix plus icon in dark mode (#1004)  db36bed,,0
"Update the ""thumbs up"" mask to have the correct size",0.42479828,Fix group avatar being squished (#1119)  1bda478,,0
Fix hidden 360 photos (#1199),0.97080874,Fix hidden 360 photos (#1199)  de06ad3,,1
Add ability to force sidebar width (#1170),0.94727325,Add the ability to force sidebar width (#1170)  a6c914e,,1
2.41.1,0.58129096,Reverted v2.35. It unfortunately had some crashes...,,0
Fix the dark mode on Linux and Windows,0.91069674,Fix the dark mode on Linux and Windows  081b6ed,,1
Remove Facebook tracking from copied links (#1169),0.98123205,Remove Facebook tracking from copied links (#1169)  74416e6,,1
2.41.0,0.5796205,Reverted v2.35. It unfortunately had some crashes...,,0
Resize media and embeds for narrow windows (#1167),0.55782664,Fix conversation display on small window sizes (#1025)  6331a2e,,0
Migrate from deprecated APIs,0.3215144,Reverted v2.35. It unfortunately had some crashes...,,0
Update to Electron 7 (#1157),0.973974,Update to Electron 7 (#1157)  833c42b,,1
Fix Travis,0.29577714,Bug fixes,,0
Fit image previews when resizing window (#1172),0.55952257,Save window bounds after window resize (#1038)  ccf0ab2,,0
Remove Prettier,0.43278077,Remove all CSS related to old design,I'm tired of always having to fight it.,0
Add private mode confirmation prompt (#1117),0.9702373,Add private mode confirmation prompt (#1117)  2e8267f,Co-authored-by: Sindre Sorhus sindresorhus@gmail.com,1
