Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
101,Fix lag when opening AppInfoView,0.65298235,Show an error dialog when opening an app fails,Currently translated at 19.0% (50 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
102,Translated using Weblate (Tamil),0.6062239,- Updated translations,Currently translated at 71.3% (187 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
103,Refreshed translation template (#152),0.7538153,- Updated translations,Currently translated at 4.1% (11 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
104,Release 3.5.1 (#1429),0.58853054,This release includes several bug fixes,Currently translated at 68.7% (180 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
105,Release 3.1.0,0.6347072,AppCenter 3.1.0 is out!,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
106,clicking updates badge go to installed page (#1381),0.82028925,Clicking the updates badge in the header navigates to the updates view,Currently translated at 37.0% (97 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
107,Refresh AppStream pool and UI when package cache changes (#865),0.68441474,Update application details when changes happen outside of AppCenter,Currently translated at 1.1% (3 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
108,Update appcenter.metainfo.xml.in,0.6289243,Update application details when changes happen outside of AppCenter,Currently translated at 63.3% (166 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
109,Simplify view handling (#379),0.50471026,Apps in list views now load in the correct order when scrolling,Currently translated at 66.4% (174 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
110,Banner: rewrite BannerWidget with modern code style (#1618),0.54919744,- Navigate banners on the home page with multitouch gestures,Currently translated at 88.1% (231 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
111,LINGUAS: add pt and pt_br,0.55146563,* Updated translations,Currently translated at 13.7% (36 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
112,Fix steam installation,0.47688177,Flatpak repair by @meisenzahl in link,Currently translated at 72.5% (190 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
113,AbstractView: Safely cast to AppInfoView (#1725),0.5109523,Ellipsize long app names in App Info views,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
114,AppInfoView: Show an icon for uncurated apps (#1683),0.61545694,Don't show a warning dialog about apps from alt stores,Currently translated at 75.1% (197 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
115,Don't replace .desktop in component ID (#1357),0.59682894,Don't show uninstall buttons for essential system components,Currently translated at 83.9% (220 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
116,Backers.md: Ascii Wolf → Daniel Rusek,0.41760695,Pretty output Flatpak package origins by @meisenzahl in link,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
117,Search asynchronously,0.6796005,Improve search performance,Currently translated at 4.1% (11 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
118,Refactor package class,0.50597894,* Category graphics revamped,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",0
119,Restructure Package.vala and ChangeInformation.vala to reduce duplication and increase clarity and make a few consequent changes elsewhere,0.4989129,Many fixed and updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
120,Remove 'Back to Home' button on clearing the search entry (#1449),0.69375485,Ensure Home button is usable during search,Currently translated at 98.8% (259 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
121,Package: unescape name (#1594),0.4791199,Pretty output Flatpak package origins by @meisenzahl in link,Currently translated at 93.5% (245 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
122,When network available refresh cache; always make sure to show the badge,0.5753913,Clicking the updates badge in the header navigates to the updates view,,0
123,Don't show spinner if packages are being updated (#219),0.56857,"Prevent suspending when installing, updating, or removing packages",,0
124,Show humblebutton on attempting to update unpaid applications (#561),0.6392323,No longer prompt for approval to update non-curated apps,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",0
125,Core: fix spacing vala-lint errors (#1085),0.48327437,Fix some layout issues,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
126,Client: Trigger auto-updates when opening the app (#1811),0.6629728,Make loading updates async from main AppCenter window by @meisenzahl in link,Currently translated at 88.1% (231 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
127,Use io.elementary.appcenter as dbus name (#984),0.40962097,Pretty output Flatpak package origins by @meisenzahl in link,Currently translated at 20.6% (54 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
128,Fix #1086 by ignoring non-fatal errors (#1091),0.5256074,Fix crashes,Currently translated at 16.7% (44 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
129,Fix crashing issues when cancelling package operations (#972),0.6488391,Fix crashes,Currently translated at 22.1% (58 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
130,fix a recent regression where the sort order in Update View gets messed up,0.5619906,Apps in list views now load in the correct order when scrolling,Currently translated at 22.1% (58 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
131,Optimise search rank algorithm (#1421),0.7048596,Improve search performance,Currently translated at 7.2% (19 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
132,Do not show uninstall for compulsory components (#1000),0.71097666,Don't show uninstall buttons for essential system components,Currently translated at 7.2% (19 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
133,Translated using Weblate (Telugu),0.6324897,- Updated translations,Currently translated at 12.5% (33 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
134,Fix update view sort order (#435),0.6568704,Apps in list views now load in the correct order when scrolling,Currently translated at 96.9% (254 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
135,Make Homepage a View; make CategoryFlowBox a widget (#188),0.58705384,- Navigate banners on the home page with multitouch gestures,Currently translated at 22.5% (59 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
136,Modify version numbers... again...,0.5067718,This release includes updated translations.,Currently translated at 40.4% (106 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
137,Fix threads crash (#381),0.5881378,Fix crashes,Currently translated at 25.1% (66 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
138,Fix extension badge size (#1144),0.53170466,Improve update badge styling and category styling,Currently translated at 85.8% (225 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
139,AppInfoView: strip extra spaces and line breaks (#1013),0.54709494,Ellipsize long app names in App Info views,Currently translated at 85.8% (225 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
140,Get project name from CMake variable,0.3375034,Pretty output Flatpak package origins by @meisenzahl in link,,0
141,MainWindow: Use Hdy.Window and Hdy.Headerbar (#1434),0.5263028,"The ""Update All"" header now sticks to the top of the window when scrolling",The printf arguments in this string keep being re-ordered in some languages without adding positional specifiers which causes crashes. So let's add a translator comment to hopefully make it clearer.,0
142,Force update cache when opening AppCenter UI,0.69372976,Update application details when changes happen outside of AppCenter,Currently translated at 28.6% (75 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
143,Style cache update fail dialog details as Terminal (#530),0.4963827,Fix Flatpak runtime updates getting stuck,Currently translated at 28.6% (75 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
144,Gettext: install git (#1968),0.83063614,Gettext: install git by @danirabbit in link,Currently translated at 38.9% (102 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
145,Backers: Anonymous → Kyle Steere,0.31488386,@vjr made their first contribution in link,Currently translated at 54.9% (144 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
146,ReleaseRow: support issues tag (#1931),0.65985036,This release includes several bug fixes,Currently translated at 54.9% (144 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
147,Added translation template.,0.7297646,- Updated translations,Currently translated at 21.7% (57 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
148,Use resize and get_size when saving and restoring window state (#930),0.6922586,* Improve window state restoration,Currently translated at 50.0% (131 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
149,Cache Houston API results to GSettings (#1296),0.3507551,FlatpakBackend: Handle transaction success state correctly by @davidmhewitt in link,Currently translated at 36.2% (95 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
150,InstalledPackageRowGrid: release notes in a dialog (#1875),0.71198285,Release notes are shown in a dialog,Currently translated at 36.2% (95 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
151,Add a paragraph about loading local XML files to README (#427),0.508568,FlatpakBackend: Improve XML parsing efficiency by @davidmhewitt in link,Currently translated at 23.6% (62 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
152,Translated using Weblate (Suomi),0.67498136,- Updated translations,Currently translated at 83.9% (220 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
153,Move get_packages from AbstractAppList to AppListUpdateView (#1912),0.61491966,AppListUpdateView: Rewrite with ListStore by @danirabbit in link,Currently translated at 83.9% (220 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
154,Show a spinner when the backend is working on something (#370),0.3792785,Support system-wide Flatpak remotes,Currently translated at 93.8% (246 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
155,Translated using Weblate (Esperanto),0.60454035,- Updated translations,Currently translated at 53.8% (141 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
156,Move single-use reboot method out of utils (#1329),0.4386117,Don't show uninstall buttons for essential system components,Currently translated at 40.4% (106 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
157,Define an interface for backends (#966),0.45247942,Better fallback icons for components,Currently translated at 40.4% (106 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
158,Release 0.2.7,0.59927386,AppCenter 0.2.2 is out!,Currently translated at 54.9% (144 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
159,Package: Remove should_nag_update (#1891),0.57693017,"Prevent suspending when installing, updating, or removing packages",Currently translated at 53.0% (139 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
