Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
27,Code Formatting,0.4070258,Apply font changes without restarting,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
28,Translated using Weblate (Spanish),0.6303097,Translation updates,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
29,add the option to change the cursor shape.,0.58636916,* Hide the cursor while typing,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
30,Remove removed tab from the terminals list,0.5527442,Don't remember tabs when History is disabled in System Settings,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
31,UnsafePasteDialog: Use Gtk.ResponseType (#572),0.47937834,* Fix a wrong foreground process response code,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
32,Fixed exec_name and some coding style.,0.3913164,Middle-click paste now properly follows System Settings,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
33,Dialogs/ColorPreferences: reset to default via gsettings (#669),0.51179355,Create a custom color palette,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
34,Fixed bug #1082112. Approved by Akshay Shecker.,0.64270926,This release includes several bug fixes,,0
35,Quick fix regarding translations.,0.84041375,Translation updates,"Fixes #681: you can start Terminal minimized. Handy when starting  Terminal with a command at login time, but you don't want a window to be displayed.",1
36,More clear explanation for the initial dummy callbacks from shells with proper post-execution hooks,0.40013358,* Fix a wrong foreground process response code,"This prevents this particular shortcut for interfering with the selection of text in some advanced TUI text editors like micro. We already have the following shortcuts for changing tabs: ctrl + tab, ctrl + shift + tab; ctrl + pgup, ctrl + pgdown; ctrl + shift + pgup, ctrl + shift + pgdn; These are all consistent with both Files and Web. Terminal should follow this standard as well. Co-authored-by: Stan Janssen stan@finetuned.nl",0
37,Merged fixed-918291.,0.4504022,This release includes several bug fixes,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
38,Fix links not being selectable for copying.,0.6055022,Fix URL selection,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
39,Added the palette string to dconf-editor.,0.55676496,Validate custom palette,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
40,Improved CMakeLists.txt.,0.51217425,Rework Application Class by @Marukesu in link,Bumps actions/checkout from 1 to 3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: actions/checkout   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
41,Use standard icons,0.51857,* Fixed mistranslated and broken icon names,,0
42,Replace compact class with default-decoration (#99),0.40434134,Rework Application Class by @Marukesu in link,"Application: properly unexport the dbus interface on exit we where depending on the binary exiting to unexport the interface, however, the test suite launch a instance per test, and they where failing because of the interface being already registred, and ending in false positives. the suite where ammended to check for the application exit status too and fail if not 0. Co-authored-by: Jeremy Wootten jeremy@elementaryos.org",0
43,Only enable restoring in DN if save-exited-tabs is true.,0.53434443,Shift + Control + D to duplicate tabs,,0
44,Translated using Weblate (Kurdish),0.59556705,Translation updates,Currently translated at 98.7% (81 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
45,Add ctrl-v to paste support,0.61660814,Middle-click paste now properly follows System Settings,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
46,Release 0.2.3,0.59820545,This release includes several bug fixes,"Allows to test it in headless environments (ci, PPAs…)",0
47,"Fixed keyboard shortcuts (were not working), other minimal changes.",0.7519014,Fix an issue with keyboard shortcuts not activating the first time they're pressed,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,1
48,Appdata: Add 5.4.0 release data,0.4707927,This release contains translations update and a minor API fix.,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
49,Release 6.1.1 (#695),0.5537767,pantheon-terminal 0.4.1 is out!,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
50,1419997 disable sudo warning automatically,0.4444134,Notifications indicate if a process exited with errors or not,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
51,"Set bell to false by default, add description (#340)",0.422323,Add commandline option for New Tab (-t),Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
52,Fixed bug #1166013,0.6669287,This release includes several bug fixes,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
53,Change to use the new granite API,0.43332887,New features:,Currently translated at 36.5% (30 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
54,Add Reload item to terminal tabs. (#570),0.66071284,Reload tabs in the context menu or with the shortcut Ctrl + Shift + R,Currently translated at 4.3% (1 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
55,fixed bug #913468,0.6870971,This release includes several bug fixes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
56,Use ColorButton style from Greenfield (#520),0.6746479,Create a custom color palette,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
57,Fixed bug #900813.,0.67139184,This release includes several bug fixes,Currently translated at 98.7% (81 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
58,Improves saving of tabs and fixes 1353010,0.63420033,Switch tabs with Alt + 1-9,Escape '#' except when fragment identifier Better variable name Add release appdata Do not escape # after last directory separator Fix lint Avoid unnecessary string.reverse() Co-authored-by: Ryan Kornheisl ryan@skarva.tech,0
59,Fixed bug #1048672.,0.69199944,This release includes several bug fixes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
60,[Settings] Small refactor of the code that loads settings to restore_settings and live editing of settings.,0.53195274,Turn Natural Copy/Paste on or off in the Settings menu,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
61,MainWindow: Add accels to menuitem labels (#387),0.6900475,MainWindow: Update context menu on menu key press by @ryonakano in link,Currently translated at 96.3% (79 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
62,Worked on some code consistency and organization.,0.449288,Performance improvements,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
63,"Added the HACKING file, based of Plank's.",0.30733413, * Add accels to tooltips,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
64,Reverted 1 commit.,0.3621261,Full Changelog: link,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
65,Added text/plain,0.53792167,Show text details in unsafe paste dialogs,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
66,Release 0.4.2,0.6241168,pantheon-terminal 0.4.2 is out!,Currently translated at 60.8% (14 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
67,removed extra lines,0.5456542,Also warn about multi-line pastes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
68,Fixed typo.,0.44498825,* Fixed mistranslated and broken icon names,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
69,remove extra window state settings keys,0.5603356,MainWindow: Update context menu on menu key press by @ryonakano in link,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
70,vte-2.91: Add libpre2 support and make changes to have everything work again with vte 0.60 (#489),0.44856182,This release includes several bug fixes,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
71,Travis.yml: Update Houston CI (#312),0.43965572,Switch to GHCR containers by @davidmhewitt in link,,0
72,Translated using Weblate (Danish),0.6170528,Translation updates,,0
73,Delete FUNDING.yml,0.43149742,Application: Properly Unexport the DBus Interface on Exit by @Marukesu in link,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
74,Release 0.5.1,0.61346227,pantheon-terminal 0.4.1 is out!,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
75,Added a copy and a paste button to the toolbar.,0.6049968,Middle-click paste now properly follows System Settings,,0
76,"Added context menu to toolbar, to make its visibility optional.",0.68509483,* Pressing the Menu key now opens the context menu,"re-organize class move the ENTRIES constant to top creation method before construct instance - static, protected - public - private, ordering code style was updated and some methods simplified. use Gtk.Application API to list windows Gtk.Application has API to list and get windows registered with the application. use that instead of keeping track of windows by ourselves split command line logic between local and primary instances local_command_line() and handle_local_options() are responsible for the command line parsing and adjusting the options for usage in command_line() that handles the actual program logic in the primary instance. this simplifies the primary instance work, and keep command line specific behavior to be parsed only from command line invocation. add test suite for validating the class behavior tries to guarantee the behavior of the command line interface, both local and primary CI: enable tests apply linter changes CI: run tests under virtual x11 server fixup! re-organize class fixup! split command line logic between local and primary instances Co-authored-by: Danielle Foré danielle@elementary.io Co-authored-by: Jeremy Wootten jeremy@elementaryos.org",0
77,fixes Translations.cmake and updates pantheon-terminal.pot,0.6713422, * Update translations,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
78,Change locale code mo to ro_MD (Closes: elementary/terminal#598) (#599),0.35877997,Switch to GHCR containers by @davidmhewitt in link,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
79,Require a non-empty Atom array before calling Gtk.targets_*,0.36025542,Switch to GHCR containers by @davidmhewitt in link,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
80,Fixed License,0.34808204,* Adapt to type change of Gdk.Key constants to fix build with valac 0.42,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
81,Read the working directory from the clicked tab instead of the active tab,0.5692067,Open Link option when secondary clicking,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
82,Added some margin on top of notebook. Approved by David Gomes.,0.51666325,Slightly pad text from the edge of the window,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
83,Fix long lines (#445),0.4101419,Also warn about multi-line pastes,Currently translated at 100.0% (23 of 23 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
84,"Added foreground and background configuration, yet I'm not sure if 100% working.",0.51362276,Avoid losing focus when closing background tabs,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
85,src/TerminalWidget.vala: code style cleanup,0.49416777,* Fix a wrong foreground process response code,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
86,Update io.elementary.terminal.appdata.xml.in,0.49114555,This release contains translations update and a minor API fix.,,0
87,Drop superfluous ZSH-related variables,0.28680283,Switch to GHCR containers by @davidmhewitt in link,,0
88,Refactored the way command-line arguments are handled,0.44432473,* Fix a wrong foreground process response code,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
89,Added some debug code.,0.540295,This release includes several bug fixes,Currently translated at 100.0% (72 of 72 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
90,"Fixed bug #905707, oh yeah.",0.75397825,This release includes several bug fixes,Currently translated at 75.6% (62 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,1
91,Simplify the handling of the notebook's visibility,0.53544176,Avoid losing focus when closing background tabs,Currently translated at 91.6% (66 of 72 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
92,"Correct name in desktop file, correct formatting, remove unnecessary changes",0.50219136,Apply font changes without restarting,Currently translated at 97.5% (80 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
93,Unsafe paste. (#45) (#125),0.7348504,Also warn about multi-line pastes,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",1
94,Tiniest fix ever.,0.3028884,Slightly pad text from the edge of the window,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
95,Release 5.3.3,0.6159951,Terminal 5.3.5 is out!,,0
96,Fixed bug #1194854 and refactored PantheonTerminalWindow class.,0.55084383,This release includes several bug fixes,,0
97,Using Gdk.BUTTON_PRIMARY/SECONDARY,0.5077957,* Store state with GSettings,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
98,Added some libnotifysupport via command line arguments,0.53716564,Add commandline option for New Window (-n),Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
99,"Fixed bug #1208140, moved -d to -w, steps necessary taken to fix #1033456 in Files.",0.5403886,This release includes several bug fixes,Currently translated at 84.1% (69 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
100,Attempt to fix fullscreen window border.,0.67925596,Slightly pad text from the edge of the window,Currently translated at 84.1% (69 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
101,Minimal changes in the Preferences Dialog,0.5070496,* Prevent search and style buttons from receiving focus,Currently translated at 82.9% (68 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
102,Import newer Translations cmake module from lp:~elementary-apps/+junk/cmake-modules,0.49134836,This release contains translations update and a minor API fix.,Currently translated at 82.9% (68 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
103,Move PantheonTerminal.vala to Application.vala (#133),0.44803104,* Adapt to type change of Gdk.Key constants to fix build with valac 0.42,,0
104,Added some more keywords.,0.54788935,New features:,Add shortcuts Crtl + PageUp and Ctrl + PageDown to switch between tabs,0
105,Release 0.4.1,0.646508,pantheon-terminal 0.4.1 is out!,Currently translated at 78.0% (64 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
106,Merged branch fixed-1028739.,0.3711869,This release includes several bug fixes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
107,Ctrl scroll zoom (#435),0.92654955,Zoom with Ctrl + Scroll,Currently translated at 19.1% (14 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,1
108,fixed bug #919393,0.6925514,This release includes several bug fixes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
109,Apply geometry hints to toplevel window,0.5666839,Slightly pad text from the edge of the window,Currently translated at 86.5% (71 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
110,Implemented DynamicNotebook .previous_page and .next_page.,0.4870667, * Add Alt+↑ action to scroll to last command,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
111,"Fix compilation, and it works",0.6008748,This release includes several bug fixes,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
112,Fixed shutdown when the user cancels the dialog as described in #1327526,0.50195223,Notifications indicate if a process exited with errors or not,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
113,Translated using Weblate (Ukrainian),0.5950041,Translation updates,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
114,Translated using Weblate (Dutch),0.60570717,Translation updates,,0
115,Release 0.2.4.1,0.61328495,pantheon-terminal 0.4.1 is out!,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
116,Fixed bug #917766.,0.69249535,This release includes several bug fixes,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
117,First commit,0.48610902,@dependabot made their first contribution in link,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
118,Change find in text to find,0.5770453, * Fix erratic search text highlightning behavior,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
119,bump copyright year to 2014,0.31271565,Other updates:,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
120,search button circle instead ellipse,0.5882262,* Prevent search and style buttons from receiving focus,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
121,Add a check for unsafe paste dialog (#128),0.77301145,Show text details in unsafe paste dialogs,Currently translated at 98.6% (72 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,1
122,fixed cmake configu file and added the support to gettext,0.40864003,Show text details in unsafe paste dialogs,Currently translated at 98.6% (72 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
123,"Change option -d to -w to avoid clash with debug option, implement working directory on a per instance basis",0.41337955,Add commandline option for New Window (-n),Currently translated at 93.1% (68 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
124,Fixed bug #905578.,0.7064843,This release includes several bug fixes,Currently translated at 93.1% (68 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,1
125,Release 5.5.1 (#458),0.5812088,terminal 5.5.1 is out! ,Currently translated at 91.7% (67 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
126,Enable pointer_autohide property (#357),0.3910849, * Add accels to tooltips,Currently translated at 69.5% (57 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
127,Translated using Weblate (German),0.60223186,Translation updates,,0
128,RegEx supports more characters in the url,0.4178452,Fix URL selection,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
129,Fix a bug with notifications being issued for new tabs without any commands when the tab is opened while terminal is unfocused,0.5431459,Prevent duplicate tab on startup,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
130,Further improvements on zooming text.,0.671933,Zoom levels are now remembered per-tab,,0
131,Fixes validation of the open-terminal-here desktop file.,0.4422927,Terminal 0.5.1 is out!,,0
132,Fix auto po file generation (#474),0.49054426,Fix build on OS 7,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
133,added settings to disable UnsafePasteAlert,0.5060334,Prevent unnecessary Home tab on startup,"TerminalWidget: Fix terminal freeze when closing in GLib 2.73.2+ GLib 2.73.2 dropped the global SIGCHLD handler, with this change we use pidfd to watch for child exit when the syscall is available, and use waitpid as a fallback. link Co-authored-by: Jeremy Wootten jeremy@elementaryos.org",0
134,Using SwitchCase Instead of multiple if's,0.36122388,Switch tabs with Alt + 1-9,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
135,Moved opacity switch to the Appearance tab.,0.56631136,Avoid losing focus when closing background tabs,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
136,Implemented live configuration.,0.36643934,New features:,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
137,Even more code organization.,0.390078,Performance improvements,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
138,Small changes.,0.47608936,Other updates:,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
139,Page Switching Mech Optimised,0.44354242,Switch tabs with Alt + 1-9,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
140,Add and refresh screenshots (#296),0.45637017,Rework Application Class by @Marukesu in link,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
141,Silence C compilation warnings.,0.42270184,* Fix a wrong foreground process response code,Currently translated at 100.0% (82 of 82 strings) Translation: Terminal/Terminal Translate-URL: link/,0
142,Avoid F5 shortcut clash with some foreground processes (#623),0.7288878,"Change ""Reload Tab"" shortcut to Shift + F5 to avoid clash with some foreground processes ","Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",1
143,also reduce padding on the right side,0.53940076,Slightly pad text from the edge of the window,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
144,Translated using Weblate (Norwegian Nynorsk),0.5790767,Translation updates,,0
145,Allow not ensuring tab existence for new window with coord (#200),0.63455194,Prevent duplicate tab on startup,,0
146,C-c now kills the process.,0.4773716,* Fix a wrong foreground process response code,Currently translated at 100.0% (53 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
147,"if there are no opened tabs, window is destroied",0.58175814,Avoid losing focus when closing background tabs,Currently translated at 100.0% (53 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
148,Fixed everything that left to be fixed,0.4901042,This release includes several bug fixes,Currently translated at 100.0% (73 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
149,Code-style fixes,0.55317324,* Fix a wrong foreground process response code,,0
150,Fixed.,0.5343017,This release includes several bug fixes,Currently translated at 100.0% (53 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
151,Updated POT file.,0.5176928,Other updates:,Currently translated at 100.0% (73 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
152,Reverting commits.,0.35997942, * Update translations,Currently translated at 100.0% (53 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
153,merged lp:~codygarver/pantheon-terminal/fix-bug-819049,0.5261982,This release includes several bug fixes,Currently translated at 2.7% (2 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
154,Move menu button to end and use open-menu (#213),0.66684955,* Pressing the Menu key now opens the context menu,Currently translated at 45.2% (24 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
155,Correct action name typo (#470),0.37900966,* Fix a wrong foreground process response code,Currently translated at 45.2% (24 of 53 strings) Translation: Terminal/Terminal Translate-URL: link/,0
156,fixed bug #1031195,0.6970786,This release includes several bug fixes,Currently translated at 100.0% (73 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
157,"Ooops, forgot this file.",0.4069067,Terminal 0.5.1 is out!,Currently translated at 100.0% (73 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
158,Fixed opening on last saved position,0.54802215,* Return focus after popover menu closes,Currently translated at 100.0% (73 of 73 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
