Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Rename 1_Bug_report.md to 1_Bug_report.yml,0.35712984,Fix for database migrations publishing path (#979)﻿,,0
Update 1_Bug_report.md,0.59564346,Testing fixes (#866),,0
"Don't use constructor injection in console commands, and inject into handle() instead. (#1327)",0.70363754,"Don't use constructor injection in console commands, and inject into handle() instead by @mad-briller in https://github.com/laravel/telescope/pull/1327",,1
Compile Assets,0.9048883,Compile assets (762e4ed),,1
Bump webpack from 5.61.0 to 5.76.1 (#1324),0.33535463,Show warning when manifest is outdated (#729),Bumps webpack from 5.61.0 to 5.76.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Update config (#1323),0.55692196,Newline Config (#595),,0
Return callable output on Telescope::withoutRecording (#1317),0.7524222,Telescope:withoutRecording() should be exception safe (#1092),,1
[4.x] Adds type checking (#1314),0.54347885,Fix typed properties issues (#879),  Adds type checking   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,0
[4.x] Allows to specify the log level (#1312),0.57530904,Allows to specify the log level by @nunomaduro in https://github.com/laravel/telescope/pull/1312,  Allows to specify log level   Apply fixes from StyleCI   Update src/Watchers/LogWatcher.php   Co-authored-by: Dries Vints dries@vints.io   Update LogWatcher.php   formatting    Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Dries Vints dries@vints.io,0
wip,0.26771936,﻿,,0
Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded (#1306),0.82485473,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded to avoid memory leak by @nicoverbruggen in https://github.com/laravel/telescope/pull/1306,,1
prevent memory leaks on large model imports,0.38015413,Optimize dump (#683),,0
Creates a fresh instance of schema for each migration (#1305),0.68756676,Create a fresh instance of schema for each migration by @nunomaduro in https://github.com/laravel/telescope/pull/1305,,0
Update composer.json,0.42247745,Fix deprecations by @driesvints in https://github.com/laravel/telescope/pull/1284,,0
Centers button icons (#1299),0.6544856,Center header button icons by @timacdonald in https://github.com/laravel/telescope/pull/1299,,0
Update UPGRADE.md,0.34129143,Show warning when manifest is outdated (#729),,0
[4.x] Handle redis connection exception on DumpWatcher register (#1296),0.78977835,Handle redis connection exception on DumpWatcher register by @aidanthewiz in https://github.com/laravel/telescope/pull/1296, Handle redis connection exception on DumpWatcher register  Fixes issue #620   Cleanup after previous solution removed   Include another case and refactor   Add missing !   Update src/Telescope.php   Update src/Watchers/DumpWatcher.php   use Exception    Co-authored-by: Dries Vints dries@vints.io,1
[4.x] A fresh coat of paint (#1295),0.334714,Prep For Octane (#1040)﻿,  wip: Add a fresh coat of paint   wip: Dark mode   Tweaks   Apply fixes from StyleCI   Compile Assets   More tweaks   Co-authored-by: jessarcher jessarcher@users.noreply.github.com,0
Laravel v10 Support (#1292),0.8841073,Laravel 9 Support (#1170),  Update composer.json   Update tests.yml ,1
Bump json5 from 1.0.1 to 1.0.2 (#1290),0.4429576,Fix JSON indenting (#1049),Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
[4.x] Uses PHP Native Type Declarations 🐘  (#1267),0.6692103,Uses PHP Native Type Declarations 🐘  by @nunomaduro in https://github.com/laravel/telescope/pull/1267,  Adds types to migrations and stubs   Bumps PHP version   Stops testing in PHP 7.x   Avoids breaking change ,0
Add support for model keys cast to backed enums in FormatModel (#1286),0.80233824,Add support for model keys cast to backed enums in FormatModel by @sidquisaad in https://github.com/laravel/telescope/pull/1286,  Add support for model keys casted to backed enums in FormatModel   Fix code style   Added interface_exists() check to avoid breaking compatibility with PHP < 8.1   Removed import for interface BackedEnum to preserve compatibility   Add support for Pivots with backed enum ids   Update FormatModel.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Update tests.yml,0.37277722,Testing fixes (#866),,0
Fix tests (#1284),0.7549746,Testing fixes (#866),,1
Fix FormatModel class to work with keyless Pivot models (#1282),0.74858844,Fix FormatModel class to work with keyless Pivot models by @Cellard in https://github.com/laravel/telescope/pull/1282,  Improve FormatModel to work with keyless Pivot models.   Update FormatModel.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
adjust text-break layout with text-break class (#1281),0.72876394,Adjust text-break layout with text-break class by @thomas-goncalves-83 in https://github.com/laravel/telescope/pull/1281,"adjust text-break layout with text-break class In the case of very long text, the layout was breaking with this adjustment, it automatically fixes it, I increased it to 200 characters as well.",1
Add the Ability to Pass Custom ignore_paths To Query Watcher (#1276),0.76349676,Add the Ability to Pass Custom ignore_paths To Query Watcher by @Watercycle in https://github.com/laravel/telescope/pull/1276,  Add the ability to ignore custom paths to QueryWatcher   Linting   Update FetchesStackTrace.php   Update FetchesStackTrace.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Create issues.yml,0.312559,Attempt to fix model hydration (#1174),,0
Bump minimatch from 3.0.4 to 3.1.2 (#1272),0.4031815,Cache key compatibility update (#583),Bumps minimatch from 3.0.4 to 3.1.2. - Release notes - Commits  updated-dependencies: - dependency-name: minimatch   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Bump loader-utils from 1.4.1 to 1.4.2 (#1271),0.38293982,Cache key compatibility update (#583),Bumps loader-utils from 1.4.1 to 1.4.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Bump loader-utils and resolve-url-loader (#1269),0.35480407,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿","Bumps loader-utils to 2.0.3 and updates ancestor dependencies loader-utils, loader-utils and resolve-url-loader. These dependencies need to be updated together. Updates loader-utils from 1.4.0 to 2.0.3 - Release notes - Changelog - Commits Updates loader-utils from 2.0.0 to 2.0.3 - Release notes - Changelog - Commits Updates resolve-url-loader from 3.1.4 to 5.0.0 - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect - dependency-name: loader-utils   dependency-type: indirect - dependency-name: resolve-url-loader   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
Fix issue where json_encode quietly fails due to binary data inside telescope entry (#1266),0.8248045,Fix issue where json_encode quietly fails due to binary data inside telescope entry by @Hexide in https://github.com/laravel/telescope/pull/1266,,1
Test on PHP 8.2 (#1265),0.6281447,PHP 8 Support (#977),,0
Dont register redis watcher if the redis service is not bound into the container. (#1259),0.7954298,Dont register redis watcher if the redis service is not bound into the container. by @mad-briller in https://github.com/laravel/telescope/pull/1259,,1
Fix re-enabling recording (#1258),0.46690136,Prevent resuming recording when processing sync job (#720),,0
Do not record when unserializing command (#1257),0.6477654,Do not record when unserializing command by @driesvints in https://github.com/laravel/telescope/pull/1257 & https://github.com/laravel/telescope/pull/1258,,0
Improves GitHub Actions Workflow (#1256),0.32805455,Testing fixes (#866),  Improves GitHub Workflow   Support testing on Windows   Avoid using ^ deps (incompatible with Composer on Windows)   wip   wip ,0
Update .gitattributes,0.22042641,Show warning when manifest is outdated (#729),,0
Fix bug watching invokeable object events (#1250),0.5986172,Fix events with ShouldBroadcastNow (#623),  fix callable and anonymous callable objects   style ci   remove event ,0
Bump moment-timezone from 0.5.33 to 0.5.35 (#1247),0.38275746,Full timestamp on hover (#668),Bumps moment-timezone from 0.5.33 to 0.5.35. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: moment-timezone   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Set field 'response' to value 'Empty Response' instead of 'HTML Response' when content/body of Response object is empty (#1242),0.5789069,HTML Response vs Empty Response by @bdenizar in https://github.com/laravel/telescope/pull/1242,Co-authored-by: Benjamin DENIZART benjamin@osiris.mc,0
Bump moment from 2.29.2 to 2.29.4 (#1238),0.3190471,Cache key compatibility update (#583),Bumps moment from 2.29.2 to 2.29.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Bump terser from 4.8.0 to 4.8.1 (#1237),0.42461854,Testing fixes (#866),Bumps terser from 4.8.0 to 4.8.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: terser   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
check tags after set $this->user (#1236),0.79426324,Check tags after set $this->user() by @trin4ik in https://github.com/laravel/telescope/pull/1236,,1
Update update-changelog.yml,0.355237,Show warning when manifest is outdated (#729),,0
Update pull-requests.yml,0.2878552,"Add support ignore request when status code specified (abc9660, #1150)",,0
Update compile-assets.yml,0.67568266,Compile assets (762e4ed),,0
Automatically compile and commit assets (#1229),0.65669125,Compile assets (762e4ed),  Create compile-assets.yml   Compile Assets   Delete RELEASE.md   Co-authored-by: driesvints driesvints@users.noreply.github.com,0
Bump async from 2.6.3 to 2.6.4 (#1225),0.4449228,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",Bumps async from 2.6.3 to 2.6.4. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: async   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Add support for ignoring by HTTP Verb (#1222),0.70424515,Add support for ignoring by HTTP Verb by @ArthurPatriot in https://github.com/laravel/telescope/pull/1222,  Add support for ignoring by HTTP Verb   formatting   Update RequestWatcher.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Relax user type in GateWatcher to match Laravel base framework. (#1221),0.92529535,Relax user type in GateWatcher to match Laravel base framework. by @CImrie in https://github.com/laravel/telescope/pull/1221,,1
Bump moment from 2.29.1 to 2.29.2 (#1219),0.30920774,Fix Round queries duration to 2 decimal places (#791),Bumps moment from 2.29.1 to 2.29.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: moment   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Update tests.yml (#1218),0.39876038,Testing fixes (#866),,0
Bump minimist from 1.2.5 to 1.2.6 (#1217),0.33771,Optimize dump (#683),Bumps minimist from 1.2.5 to 1.2.6. - Release notes - Commits  updated-dependencies: - dependency-name: minimist   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Create pull-requests.yml,0.30892408,Log failed requests (#701),,0
wip (#1215),0.28070942,Add key attribute (#1154),,0
Read from Horizon config when ignoring requests (#1211),0.7169534,Read from Horizon config when ignoring requests by @lightbulblighter in https://github.com/laravel/telescope/pull/1211,  Update Telescope.php   Apply StyleCI fix ,1
Merge remote-tracking branch 'origin/4.x' into 4.x,0.3185712,Fix for database migrations publishing path (#979)﻿,,0
Merge branch 'feature/hidden-values' into 4.x,0.31335577,Merge previously defined view data when building the view mailable data (#1157),,0
formatting,0.43160808,Remove problematic unused code when formatting SQL (#924),,0
CacheWatcher hide values (#1206),0.7433661,CacheWatcher hide values by @dododedodonl in https://github.com/laravel/telescope/pull/1206,  add ability to hide a cache value   add tests to confirm hiding   fix style   formatting   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Bump node-forge from 1.2.1 to 1.3.0 (#1209),0.34184203,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",Bumps node-forge from 1.2.1 to 1.3.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: node-forge   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
fix style,0.36218977,Fix syntax highlighting (#1142)﻿,,0
add tests to confirm hiding,0.3054334,"Dump visibility toggling, search, etc (#959)﻿",,0
add ability to hide a cache value,0.5517609,CacheWatcher hide values by @dododedodonl in https://github.com/laravel/telescope/pull/1206,,0
Update CHANGELOG.md,0.3692769,Fix for database migrations publishing path (#979)﻿,,0
Use Throwable instead of Exception (#1201),0.6258453,Mark exceptions as resolved (#710),,0
[4.x] Add pause and resume commands (#1200),0.6067429,Add pause and resume commands by @jamespavett in https://github.com/laravel/telescope/pull/1200,  Add resume command   Add pause command   Pause command formatting   formatting   formatting   formatting   Co-authored-by: Taylor Otwell taylor@laravel.com,0
Add option to record dumps even though the dump watcher tab is not open (#1199),0.7537775,Add option to record dumps even though the dump watcher tab is not open by @superDuperCyberTechno in https://github.com/laravel/telescope/pull/1199,  add environment variable to control dump recording   implement dump record control env variable properly   null coalescing operator on options array for DumpWatcher ,1
compile,0.5909865,Compile assets (762e4ed),,0
Truncate request url more (#1195),0.71613824,Truncate request url more by @driesvints in https://github.com/laravel/telescope/pull/1195,,1
Use new anonymous classes (#1194),0.50102115,Use new anonymous classes by @mmachatschek in https://github.com/laravel/telescope/pull/1194,,0
Bump follow-redirects from 1.14.7 to 1.14.8 (#1191),0.3811599,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",Bumps follow-redirects from 1.14.7 to 1.14.8. - Release notes - Commits  updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
[4.x] Mails sent through Notifications preview invalid HTML (#1188),0.84181535,Mails sent through Notifications preview invalid HTML by @guushuizen in https://github.com/laravel/telescope/pull/1188,  Validate invalidity of captured HTML in notification-sent Mails   Fix MailWatcher   Co-authored-by: Dries Vints dries@vints.io,1
Update RELEASE.md,0.34101734,Fix for database migrations publishing path (#979)﻿,,0
Use release target branch in changelog compare URL,0.2800467,Show warning when manifest is outdated (#729),,0
Fix key handling for ModelWatcher (#1180),1.0000001,Fix key handling for ModelWatcher (#1180),,1
Bump ansi-regex from 5.0.0 to 5.0.1,0.28378287,"Add support ignore request when status code specified (abc9660, #1150)",Bumps ansi-regex from 5.0.0 to 5.0.1. - Release notes - Commits  updated-dependencies: - dependency-name: ansi-regex   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
Bump follow-redirects from 1.14.5 to 1.14.7,0.33348924,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",Bumps follow-redirects from 1.14.5 to 1.14.7. - Release notes - Commits  updated-dependencies: - dependency-name: follow-redirects   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
Bump nanoid from 3.1.30 to 3.2.0,0.30164233,Cache key compatibility update (#583),Bumps nanoid from 3.1.30 to 3.2.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: nanoid   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
Create update-changelog.yml,0.33330905,Allows to specify the log level by @nunomaduro in https://github.com/laravel/telescope/pull/1312,,0
Attempt to fix model hydration (#1174),0.99999994,Attempt to fix model hydration (#1174),,1
[4.x] Laravel 9 Support (#1170),0.9694191,Laravel 9 Support (#1170),  Laravel 9 support   Fix tests for Symfony Mailer   Fix implementation of MailWatcher   Update composer.json ,1
[4.x] Fix issue with array hydration (#1165),0.94878924,Fix issue with array hydration (#1165),  Fix issue with array hydration   wip ,1
Merge previously defined view data when building the view mailable data (#1157),0.9999999,Merge previously defined view data when building the view mailable data (#1157),  Merge previously defined view data when building the view mailable data   Code style change for CI ,1
Add key attribute (#1154),1.0,Add key attribute (#1154),  add key attribute   another key ,1
Fix PHP 8.1 issues (#1156),1.0000001,Fix PHP 8.1 issues (#1156)﻿,,1
Add support ignore request when status code specified,0.9213959,"Add support ignore request when status code specified (abc9660, #1150)",,1
Bump axios from 0.21.1 to 0.21.2 (#1149),0.35468864,Fix deprecations by @driesvints in https://github.com/laravel/telescope/pull/1284,Bumps axios from 0.21.1 to 0.21.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: axios   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Branch alias,0.22655864,"Add app name config to title and dashboard (#643), (a3f1580)",,0
Slow query filter logic added (#1146),0.8952695,Slow query filter method added (#1146)﻿,,1
Fix syntax highlighting (#1142),1.0000005,Fix syntax highlighting (#1142)﻿,  Fix syntax highlighting   Fix webpack ignore plugin ,1
Replace Http/Uri with HTTP/URI (#1141),0.9999999,Replace Http/Uri with HTTP/URI  (#1141),,1
Add release instructions,0.29248682,Move booting of commands (#1034),,0
Update phpunit.xml.dist,0.5607451,PHPUnit 8 Warnings (#610),,0
PHP 8.1 support,0.8222413,PHP 8 Support (#977),,1
Fix mail to check to allow for null to fields (#1133),0.9999997,Fix mail to check to allow for null to fields (#1133)﻿,,1
Change logo to work on Dark Theme (#1131),0.29054907,Add explicit base font family fallback (#920),,0
Don't log HTTP requests to Telescope endpoints (#1127),1.0000002,Don't log HTTP requests to Telescope endpoints (#1127),"v4.6.3 started logging database entries for /telescope/requests, etc. due to the config('telescope.domain') checks introduced by 95631f9b8cabdfd64ed76abb0a5ddbb150855463  For the base configuration Telescope installs by default,    null !== $request->getHost() so requestIsToApprovedDomain() is    always returning true. requestIsToApprovedUri() is never checked and    config('telescope.only_paths') is ignored. This new method should    only consider a custom Telescope domain being configured. Return    true if nothing is configured as the URI will be checked instead. Exclude config('telescope.path') === null when another domain is    being used since ! $request->is('*') would stop any path from being    logged. Last week's commit was intended to fix this problem. config('telescope.only_paths') must also be checked even when    requestIsToApprovedDomain() is true. handlingApprovedRequest() must    be checking both domain and URI.",1
GateWatcher handles stack trace caller not found (#1128),0.68395203,Laravel Octane fix: GateWatcher handles stack trace caller not found (#1128),"For an app using Swoole/Laravel Octane and Telescope configured for config('telescope.ignore_packages') === true, method getCallerFromStackTrace() will return null. UI file telescope/resources/js/screens/gates/preview.vue will hide caller file location details if they're not stored in the Telescope entry so save that path as null. Also fix the getCallerFromStackTrace() @return docblock as that method was written before Laravel Octane magic was conjured up.",0
[4.x] Fix telescope.domain usage. (#1124),0.92612755,Fix telescope.domain usage (#1124)﻿,,1
[4.x] Rewind http client response after recording (#1114),0.9650432,Rewind http client response after recording (#1114)﻿,  Update ClientRequestWatcher.php   Update ClientRequestWatcher.php   Co-authored-by: Dries Vints dries@vints.io,1
Bump path-parse from 1.0.6 to 1.0.7,0.35647255,Add the Nova API to ignore paths array (#752),Bumps path-parse from 1.0.6 to 1.0.7. - Release notes - Commits  updated-dependencies: - dependency-name: path-parse   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
[4.x] Unified asset publishing (#1105),0.909926,Unified asset publishing (#1105),  [4.x] Unified asset publishing   Update TelescopeServiceProvider.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Update TelescopeServiceProvider.php (#1104),0.6988102,Fix telescope.domain usage (#1124)﻿,,0
Use intdiv where appropriate to prevent unexpected conversion to float. (#1100),0.957288,Use intdiv where appropriate to prevent unexpected conversion to float (#1100),,1
[4.x] Record 'connection failed' http client event (#1097),0.8646295,Record 'connection failed' http client event (#1097),  Record 'connection failed' http client event   Fix linting issue   Small javascript fix   Another small javascript fix   Update entriesStyles.js   formatting   Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Taylor Otwell taylorotwell@gmail.com,1
Suppress filesize errors in client request watcher (#1096),1.0000002,Suppress filesize errors in client request watcher (#1096),,1
compile assets,0.9048884,Compile assets (762e4ed),,1
"Repackaged #1087 for 4.x (Add a new ""Clear Entries"" button) (#1091)",0.8453226,"Add a new ""Clear Entries"" button (#1091)",,1
Fix phpdoc return type (#1090),0.5180927,PHPUnit 8 Warnings (#610),see implementer: https://github.com/laravel/telescope/blob/4.x/src/Storage/DatabaseEntriesRepository.php#L336,0
Telescope:withoutRecording() exception safe (#1092),0.97039586,Telescope:withoutRecording() should be exception safe (#1092),,1
Fix JobWatcher when job is encrypted (#1089),0.9343487,Fix for JobWatchers when the job payload is encrypted (#1089)﻿,Signed-off-by: Michael Lundbøl michael.lundboel@gmail.com,1
[4.x] fixed frontend request polling memory leaks (#1086),0.5789962,Add memory to request watcher (#680), fixed frontend request polling memory leaks  fix #1085   Update IndexScreen.vue   Update IndexScreen.vue   Co-authored-by: Taylor Otwell taylor@laravel.com,0
Improve file handling in client request watcher (#1080),1.0000001,Improve file handling in client request watcher (#1080)﻿,,1
[4.x] Http Client Link State (#1078),0.96486557,Http Client Link State (#1078),  fix path   compile ,1
Move logo to repo,0.2607916,"Allow avatar path customization (#890, 94a3952)",,0
update wording,0.36270452,Change text for Marking Exceptions as Resolved (#916),,0
Update routes.php,0.40350488,Make ignoring Laravel Nova paths configurable (#799),,0
Another linting fix,0.31295222,Fix syntax highlighting (#1142)﻿,,0
Fix linting issues,0.29209268,Fix syntax highlighting (#1142)﻿,,0
Update tests,0.60388255,Testing fixes (#866),,0
Cleanup,0.39425856,Updated db command for clearing tables (#991),,0
Show 'client requests' in 'related entries',0.4053079,Add http client request watcher (#1073)﻿,,0
Add http client watcher views,0.7960841,Add http client request watcher (#1073)﻿,,1
Add http client request watcher,0.9351057,Add http client request watcher (#1073)﻿,,1
[4.x] Implemented fallback for PDO::quote method on QueryWatcher (#1066),0.9853852,Implemented fallback for PDO::quote method on QueryWatcher (#1066)﻿,  Implemented fallback for PDO::quote method on QueryWatcher   Implemented fallback for PDO::quote method on QueryWatcher   Implemented fallback for PDO::quote method on QueryWatcher   Implemented fallback for PDO::quote method on QueryWatcher   Implemented fallback for PDO::quote method on QueryWatcher   Update QueryWatcher.php   Co-authored-by: Juan Lago juan@leadsupply.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
Remove asset manifest check and warning (#1063),1.0,Remove asset manifest check and warning (#1063),  Remove asset manifest check and warning   Remove unused import ,1
Fix query formatting in preview (#1050),1.0000001,Fix query formatting in preview (#1050)﻿,,1
Fix JSON indenting (#1049),0.99999994,Fix JSON indenting (#1049),,1
Always boot commands (#1045),0.99999976,Always boot commands (#1045),,1
Fix query preview (#1044),1.0000001,Fix query preview (#1044)﻿,,1
prep for octane (#1040),1.0000002,Prep For Octane (#1040)﻿,,1
[4.x] Update to Mix v6 (#1039),0.40831137,Cache key compatibility update (#583),  Update to Mix v6   Apply fixes from StyleCI (#1038) ,0
Move booting of commands (#1034),1.0000002,Move booting of commands (#1034),,1
"Revert ""Move cache read inside VarDumper handler to avoid cache call during package discovery/composer install calls (#1025)"" (#1030)",0.6224481,"Revert ""[4.x] Move cache read inside handler to avoid early cache call"" (#1030)﻿",This reverts commit 897d2e03278718551badede7ed612893d61b8e49.,0
Move cache read inside VarDumper handler to avoid cache call during package discovery/composer install calls (#1025),0.5453893,Move cache read inside handler to avoid early cache call (#1025)﻿,,0
Use ubuntu-18.04,0.15851977,Changed,,0
Implement new GateEvaluated event (#1018),1.0,Implement new GateEvaluated event (#1018)﻿,,1
Handle when $batch is null (#1013),1.0000002,Handle when $batch is null (#1013)﻿,BatchRepository::find() may return Batch or null. This fixes laravel/nova-issues#3243 Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com,1
Remove Laravel 7 workarounds (#1011),0.68484634,Laravel 7 support (a26891d),,0
[4.x] Fix: GateWatcher shows allowed when it is denied via Response class (#1010),0.937878,GateWatcher shows allowed when it is denied via Response class (#1010)﻿,  fix: GateWatcher saves denied response as allowed   tests for gatewatcher changes ,1
Update dependencies,0.29388058,Show warning when manifest is outdated (#729),,0
Apply fixes from StyleCI (#1006),0.5295394,Fix syntax highlighting (#1142)﻿,,0
Prevent access to uninitialized typed properties (#1005),0.99999994,Prevent access to uninitialized typed properties (#1005)﻿,,1
Bump axios from 0.18.1 to 0.21.1,0.3373995,Fix deprecations by @driesvints in https://github.com/laravel/telescope/pull/1284,Bumps axios from 0.18.1 to 0.21.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
Delete yarn.lock,0.2952612,Prevent resuming recording when processing sync job (#720),,0
[4.x] Add model hydrations to model watcher (#1000),0.94182575,Add model hydrations to model watcher (#1000),  [4.x] Add model hydrations to model watcher   fix styleci   dont record retrieved events by default for no breaking changes   Update preview.vue   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Fix spaces (#1001),0.509771,Changed truncate from 75 chars to 50 (#887),,0
[4.x] Fix typo in memory calculation (#997),0.9397401,Fix typo in memory calculation (#997)﻿,,1
