Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
33,build(deps): bump actions/checkout from 2 to 3,0.49509662,Speed up build graph (#924),"Remove Nerdbank.GitVersioning dependency from project in favor of a new VERSION file, which will be updated ahead of each release. Versioning in this file will begin with the version we plan to use for the next release: 2.1.0.0. This change involves the addition of a new custom MSBuild task, which reads in the contents of the VERSION file, converts it to a Version object, and then sets the various version-related MSBuild properties with the correct value (some with the Revision component appended, others without). Note that there is a bug in MSAL 1 that causes build failures for projects without dependencies with this change. We add Newtonsoft.Json as a global dependency in Directory.Build.props to work around this problem until the fix is released.",0
34,build(deps): bump github/codeql-action from 1 to 2,0.49667108,Add Git configuration options for trace & debug (#1228),Bumps DavidAnson/markdownlint-cli2-action from 9.0.0 to 10.0.0.,0
35,Fix real-sign Windows build to actually sign,0.43827224,Ensure we create a WindowsProcessManager on Windows (#1146),Add Trace2 config/env var options to GCM's configuration/environment documentation to improve discoverability.,0
36,workflows: remove CodeQL,0.45645392,Codebase and build improvements (#49),Add Trace2 config/env var options to GCM's configuration/environment documentation to improve discoverability.,0
37,Merge pull request #109 from microsoft/fix-rel,0.5238829,"Fix a bug with using Microsoft Accounts with Azure Repos (#143, #148)",Add options for enabling tracing and debugging in Git configuration. Today the below options were only supported via environment variable:  GCM_TRACE GCM_TRACE_SECRETS GCM_TRACE_MSAUTH GCM_DEBUG,0
38,.gitignore: ignore signing outputs,0.63793135,Consistently read from stdout before waiting for Git process exit (#1136),Add options for enabling tracing and debugging in Git configuration. Today the below options were only supported via environment variable:  GCM_TRACE GCM_TRACE_SECRETS GCM_TRACE_MSAUTH GCM_DEBUG,0
39,Merge pull request #61 from mjcheetham/provider-override,0.4041339,Updated generic provider to support all protocols (#712),Bumps DavidAnson/markdownlint-cli2-action from 9.0.0 to 10.0.0. - Release notes - Commits  updated-dependencies: - dependency-name: DavidAnson/markdownlint-cli2-action   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com,0
40,libsecret: use downlevel functions to get secrets,0.42305052,Allow use of older versions of libsecret such as in Ubuntu 18.04 (#244),"Add link to the install instructions for the dotnet SDK. Note that, due to installation instructions differing based on the distro and version users are running, the best we are able to do is link to the page that provides further links for users to follow to use their respective package managers to install.",0
41,oauth: add unit tests for OAuth2Client,0.6439433,Generic OAuth support via config 🎉 #1062,"Detect when we are in a Microsoft Dev Box environment, and if we are, then default to enabling the default OS account setting and enabling WAM.",0
42,Remove build number from the Inno Setup file,0.50247645,Simplified build number included in artifact names (#638),Add the ability to configure MSAL to use the default OS account when the broker is enabled. Default to disabled.,0
43,Merge pull request #336 from mjcheetham/xui2,0.42291957,"Fix winget publishing (#332, #338)","Today GCM has an architecture that delegates all GUI prompting to (bundled) external executables, using WPF-based helpers on Windows and Avalonia UI helpers on Mac and Linux. Each host provider has its own GUI helper executable, meaning we currently bundle four (GitHub.UI, GitLab.UI, Atlassian.Bitbucket.UI, git-credential-manager.ui [for generic auth]) helpers in addition to the core git-credential-manager CLI executable. On Linux we use the ""publish as a single-file"" model for each of these executables, meaning we have a copy of the CLR included for each executable! That means five CLRs! Now that the Avalonia UI-based GUI helpers have matured, we can look at dropping the WPF helpers and reduce the effort required to ship new GUI by 50% (we no longer need to do everything twice: once with WPF and once with Avalonia UI). In addition, in a recent spike, I found that it may be possible to bring the Avalonia UI helpers in-process, with nearly zero net-new code. This would help reduce our installation footprint on Linux down to approximately 1/4 of the current size. The single executable model would also help decrease build times, and increase end-user performance since we no longer pay the process startup costs using external processes! We need to be mindful that this change may result in a small increase in the Windows installation as we now bring in extra libraries used to support Avalonia UI, whereas previously we relied on WPF libraries as included with Windows 'for free'. This is expected to be minimal. As for the current GUI extensibility model, we are not aware of any consumers, but it would not be much effort to keep the existing external process model, but now just default to using our in-process GUI options in the absence of external configuration. This still gives tools like VS or VSCode options to integrate native UI for GCM in the future. Initially, we are still keeping the WPF helpers around on Windows but disabled by default. We can drop these after at least one release using the in-proc Avalonia helpers. To switch back to the WPF helpers, use credential.devUseLegacyUIHelpers or GCM_DEV_USELEGACYUIHELPERS.",0
44,bitbucket: add in-proc UI implementation,0.6276169,Introduce the Bitbucket host provider with Windows GUI (#37),"To keep the size of the Windows distribution small, directly target the Win32 Avalonia packages rather than the Desktop package that includes macOS and Linux dependencies.",0
45,git: consistently read from stdout before exit wait,0.9705509,git: consistently read from stdout before exit wait (#1136),,1
46,ui: use in-proc by default with fallback option for WPF,0.4709198,WPF-based GitHub auth UI (#40),,0
47,actions/workflows: fix workflows and builds,0.49025428,Ensure we start child processes created with ProcessManager (#1177),,0
48,Merge pull request #146: FAQ: typo fix,0.42807987,"Fix winget publishing (#332, #338)",,0
49,Add test HTTP objects,0.43206495,Auto-detect on-premises/self-hosted providers via HTTP headers (#262),,0
50,Encapsulate stdin/out/err streams into IStandardStreams interface,0.38672766,trace2: guard against null pipe client in dispose (#1135),,0
51,Merge pull request #654 from GitCredentialManager/bring-oauth-into-the-light,0.53317595,Convert issue templates to YAML (https://github.com/GitCredentialManager/git-credential-manager/commit/24ae90a4bd18fec6edcc860281ff82f715588e44),,0
52,oauth: add in-proc UI implementation,0.65126354,Generic OAuth support via config 🎉 #1062,Support dark theme resource dictionaries.,0
53,Updated to .NET 6,0.8536542,"Upgraded to .NET 6.0 (#635, #640)",,1
54,docs: add FAQ for UI helper settings,0.52860487,Include UI helpers in Debian package for Linux release; move GCM symlink to /usr/local/bin (#405),,0
55,org-rename: update references to GitCredentialManager,0.9720031,org-rename: update references to GitCredentialManager (#1141),,1
56,Clean up README,0.38775957,- Various bug fixes and improvements,"Simplify where we check for user interaction and/or terminal prompts during authentication, to only need to check at the start of each GetAuthenticationAsync call. Note that is is a behaviour change - we now require user interaction to be allowed to perform authentication even with only 1 mode available. This is technically more 'correct' because when the user disables interactivity, we should never require interaction to continue. Although we are not asking the user to select a mode of authentication, we still either need them to enter a username/password, or respond to a browser OAuth flow.",0
57,build: ignore Windows projects in Mac sln configs,0.621048,Ensure we create a WindowsProcessManager on Windows (#1146),,0
58,Update master CI build badge,0.4927471,Update to Git Credential Manager Core (beta) on macOS.,,0
59,Merge pull request #35 from mjcheetham/docs,0.41349086,Check for broken links in documentation (#700),,0
60,Implement get command,0.429521,Use System.CommandLine to handle our command line parsing and allow host providers to offer custom commands (#273),,0
61,Merge pull request #712 from mjcheetham/all-protos,0.4329639,Fix WSL configuration instructions (#479),,0
62,Merge pull request #127 from mjcheetham/fix-homebrew,0.48888665,Mac installer will now unlink the Java GCM via Homebrew if installed (#45),"Separate instructions for authentication into a new bitbucket-authentication file. For Password/Token authentication, add a callout that, when using an App Password, account read permissions are required. Closes #1119",0
63,Issue 573 Write the results of GET command calls to the log,0.52372414,Consistently read from stdout before waiting for Git process exit (#1136),Separate Bitbucket Authentication information for users from development information for developers. Use this opportunity to also add the permissions requirements for users attempting to authenticate to Bitbucket with an App Password.,0
64,trace2: add sid,0.73614675,"Add TRACE2 support(#1131, #1151, #1156, #1162)",Bumps lycheeverse/lychee-action from 1.6.1 to 1.7.0.,1
65,Unify line length across docs,0.7614584,Unify documentation line length (#862),,1
66,docs: update readme explaining win install split,0.49116355,Updated WAM support to only include applicable OSes (#629),,0
67,remove autobuild,0.51858234,Auto-generate maintainer away notification issues (#842),,0
68,release: access Azure Storage Account with login credentials,0.8633095,Access Azure storage account using service principle credentials (#851),"Default to using the in-proc Avalonia GUI on all platforms, with a fallback flag that can be set on Windows to continue to use the legacy WPF, out-of-proc UI helpers.",1
69,Merge pull request #285 from microsoft/docs/useHttpPath,0.4484558,"Enables support for multiple users for GitHub, Bitbucket, and Azure Repos (when using the *.visualstudio.com URLs) (#160)",,0
70,Merge pull request #274 from mjcheetham/drop-osx-helper,0.41135347,"Fix winget publishing (#332, #338)",,0
71,avalonia: update to Avalonia 0.10.7,0.47583124,More winget publishing fixes (#353),,0
72,Merge pull request #806 from GitCredentialManager/dependabot/github_actions/DavidAnson/markdownlint-cli2-action-6,0.5183544,Align with dotnet-supported Linux distributions (https://github.com/GitCredentialManager/git-credential-manager/pull/953),,0
73,release: sign Linux tarball,0.7884041,Sign Linux tarball and .NET tool #985 ,,1
74,Relax get command tests - ignore stdout ordering,0.5238683,Consistently read from stdout before waiting for Git process exit (#1136),,0
75,Merge pull request #244 from mjcheetham/libsecretfix,0.44265068,Fix a bug with handling libgit2 errors (#111),,0
76,Merge pull request #894 from wolf99/github-usercontent-images,0.49923572,@wolf99 ,,0
77,Merge pull request #813 from ldennington/validate-installers,0.50960064,"Fix bug with enumerating Azure Repos bindings outside of a repository (#416, #417)",,0
78,Merge pull request #49 from mjcheetham/host-refactor,0.56215966,Fix a bug with host provider disposal (#272),,0
79,github: extract Helper and TTY prompt methods,0.684818,- Fix TTY-based prompts for GitHub authentication (#30),"Set up a message pump on the main thread in the primary GCM executable in preparation to adding in-process, AvaloniaUI-based UI. Also move to explicitly shutdown the dispatcher correctly rather than just killing the process.",0
80,Merge pull request #23 from mjcheetham/podrepoupdate,0.4422,"Fix bug with enumerating Azure Repos bindings outside of a repository (#416, #417)",Add the .Windows suffix to the WPF project namespaces to prevent name collisions that would otherwise occur in future commits where the Avalonia UI types are to be merged in to the core projects. Also clean up some unused XML namespace imports.,0
81,docs: FAQ on revoking GitLab OAuth Application,0.6475255,OAuth Device Authorization Grant support for GitHub (#147),"Explicitly target the WPF Dispatcher type using the fully qualified type name to prevent an ambiguous reference that would otherwise occur in upcomming commits where the Avalonia Dispatcher, and the GCM Dispatcher are merged in to the Core project.",0
82,Merge pull request #147 from mjcheetham/github-oauthdevice,0.47466773,OAuth Device Authorization Grant support for GitHub (#147),Rename the WPF implementation of DialogWindow to prevent name collisions that would otherwise occur in upcoming commits where we merge the Avalonia implementation of DialogWindow into the Core project.,0
83,Merge pull request #138 from mjcheetham/provider-spec,0.40400836,Fix a bug with host provider disposal (#272),,0
84,Bumping mjcheetham/update-winget to v1.2.1,0.5820774,More winget publishing fixes (#353),Bumps lycheeverse/lychee-action from 1.6.1 to 1.7.0. - Release notes - Commits  updated-dependencies: - dependency-name: lycheeverse/lychee-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
85,Fix typo,0.4884575,Various bug fixes:,"Use the new Windows broker which is based on the MSALRuntime; an export wrapper around a native, cross-platform MSAL library. In this new set up, we drop the .Desktop package in favour of the .Broker package that also means we drop the WebView2Loader.dll, which we didn't make use of anyway. There are a few new binaries to be distributed in the new model, including a P/Invoke layer, IdentityModel abstractions library, and the native msalruntime_x86.dll. Note that GCM still only support x86 on Windows, and only supports broker use on Windows. For this reason we don't bother adding the broker package on non-.NET Framework builds to keep the sizes on Mac/Linux to a minimum. Also update the MSAL extensions library whilst we are here to pick up various bug fixes, and drop workarounds that are no longer required for this new broker implementation!",0
86,Update support email and github url and run on pushes to release,0.6046779,Improved usability for GitHub auth (#587),Add link to the new GCM roadmap to the README to increase discoverability.,0
87,Merge pull request #488 from mjcheetham/badgitver-docs,0.4107475,Check for broken links in documentation (#700),Add link to the new GCM roadmap to the README to increase discoverability.,0
88,github: add in-proc UI implementation,0.68208796,- GitHub,Update the large block comment on how we select which types of flows to use for Microsoft authentication.,0
89,docs: add GitHub auth API deprecation docs,0.6271653,WPF-based GitHub auth UI (#40),"If we are unable to get a parent window handle; because for example, we don't have a console, then create a small 'dummy' window using WinForms that we can use to pass a handle to MSAL.",0
90,posix-session: check for Wayland display envars,0.5304779,Correctly detect a UI interactive session on all platforms (#95),"In case we have an existing refresh token, but it has expired or been revoked, we should gracefully fall back to performing an interactive OAuth flow.",0
91,Merge pull request #718 from samuel-lee-msft/patch-1,0.4589029,Fix WSL configuration instructions (#479),"In case we have an existing refresh token, but it has expired or been revoked, we should gracefully fall back to performing an interactive OAuth flow.",0
92,trace2: add process wrapper,0.65809137,docs: add trace2 to config/env documentation (#1230),The current install from source instructions are out of date - they still recommend using git-credential-manager-core configure rather than git-credential-manager configure. Update the documentation to instruct users to run the correct command.,0
93,bitbucket: ensure we ship the Bitbucket DLL,0.66106385,"Bitbucket Server support (#140, #141)","Always set the parent window handle for MSAL on Windows. Previously we only set this if provided a handle by the user/config. Now however we must always try and provide a handle because using the new MSALRuntime-based Windows broker means we must do so - MSAL no longer provides us with a 'dummy' handle to use. Use the parent console window handle, as recommended by the MSAL docs: https://github.com/AzureAD/microsoft-authentication-library-for-dotnet/wiki/wam#parent-window-handles",0
94,trace2: add initial functionality,0.72009104,"Add TRACE2 support(#1131, #1151, #1156, #1162)","Use the new Windows broker which is based on the MSALRuntime; an export wrapper around a native, cross-platform MSAL library. In this new set up, we drop the .Desktop package in favour of the .Broker package that also means we drop the WebView2Loader.dll, which we didn't make use of anyway. There are a few new binaries to be distrubuted in the new model, including a P/Invoke layer, IdentityModel abstractions library, and the native msalruntime_x86.dll. Note that GCM still only support x86 on Windows, and only supports broker use on Windows. For this reason we don't bother adding the broker package on non-.NET Framework builds to keep the sizes on Mac/Linux to a minimium.",1
95,Introduce InteropException for all P/Invoke errors,0.4118114,Ensure we init IEnvironment before SessionManager (#1167),,0
96,ISSUE 329 address PR comments with minor updates,0.5150354,More winget publishing fixes (#353),"During some refactoring we accidentially introduced an error in the 'app path' on the CommandContext`; rather than trimming the file extension off (for detection of the old executable name on Windows) on a local copy, we are now updating the app wide copy! Only mutate a local copy.",0
97,diagnose: add GitHub API diagnostic tests,0.55318093,Add new diagnose command to help debug problems in the wild (#463),"During some refactoring we accidentially introduced an error in the 'app path' on the CommandContext; rather than trimming the file extension off (for detection of the old executable name on Windows) on a local copy, we are now updating the app wide copy! Only mutate a local copy.",0
98,Release (#944),0.707191,From previous release:,"The Authentication Issue template currently directs users to run git-credential-manager-core rather than git-credential-manager, which results in a warning regarding the removal of the core suffix. This change corrects the applicable commands so that users will not see this warning.",1
99,Merge pull request #539 from mjcheetham/deb-fix,0.4354428,"Fix bug with enumerating Azure Repos bindings outside of a repository (#416, #417)",Ensure that we actually start processes (and check they have started correctly) using the new ProcessManager/ChildProcess abstractions. Fixes #1170 Replaces #1171,0
100,Merge pull request #756 from mjcheetham/win-manifest,0.36922985,@mminns,"The Authentication issue template currently directs users to run git-credential-manager-core rather than git-credential-manager, which results in a warning regarding the removal of the core suffix. This change corrects the applicable commands so that users will not see this warning.",0
101,build(deps): bump DavidAnson/markdownlint-cli2-action from 9.0.0 to 10.0.0 (#1223),0.56911105,Codebase and build improvements (#49),Ensure that we actually start processes (and check they have started correctly) using the new ProcessManager/ChildProcess abstractions.,0
102,Merge pull request #141 from itofinity/issue/support-bbs-basicauth,0.47182745,"Bitbucket Server support (#140, #141)","We are using the *-latest runner images for release builds (win, linux), but for CI we're instead using ubuntu-18.04, ubuntu-20.04, and windows-2019 (alongside macos-latest). Let's run CI against the latest of all three OS images to match what we're using to build release bits. Ubuntu 18.04 is also deprecated as a GitHub hosted runner.",0
103,gitlab: add in-proc UI implementation,0.6271541,- GitHub,"We are using the *-latest runner images for release builds, but for CI we're instead using ubuntu-18.04, ubuntu-20.04, and windows-2019 (alongside macos-latest). Let's run CI against the latest of all three OS images to match what we're using to build release bits.",0
104,Merge pull request #174 from microsoft/linux-release-build,0.47309196,Fix computation of installation path on Linux/single-file publish (#310),"When enumerating all Git configuration values in Settings, we currently cache a copy of all values for the lifetime of the GetSettingValues() method. This saves us some calls to Git, but we can do better. Pull-up the cache of Git configuration entries to the lifetime of the Settings object, meaning all calls to GetSettingValues() over the lifetime of the process can benefit from the cache! The savings here can be significant as each ISettings property typically results in a call to GetSettingValues(). Whilst in this space we can fix a couple of bugs:   We were not calling git config --type=path for isPath = true variables when resolving settings, and instead consulting the cache first. We always want to go to Git for these types of values.   We were not using the existing cache for unscoped entries!   In my limited testing this results in a 2-3x speedup in calls to get && store!",0
105,Merge pull request #54 from mjcheetham/gitcfg,0.45838773,Add support for using WSL Git configuration (#461),"We have already checked isPath is true before calling TryGet, so let's just pass isPath: true in these calls.",0
106,trace2: add string extension for snake casing,0.5637473,"Add TRACE2 support(#1131, #1151, #1156, #1162)","When enumerating all Git configuration values in Settings, we currently cache a copy of all values for the lifetime of the GetSettingValues() method. This saves us some calls to Git, but we can do better. Pull-up the cache of Git configuration entries to the lifetime of the Settings object, meaning all calls to GetSettingValues() over the lifetime of the process can benefit from the cache! The savings here can be significant as each ISettings property typically results in a call to GetSettingValues().",0
107,Merge pull request #332 from ldennington/ldennington/update-winget-deployments,0.57043886,"Fix winget publishing (#332, #338)","Use the cached copy of Git configuration entries not only for URL-scoped keys, but unscoped keys too!",0
108,Merge pull request #903 from mjcheetham/fix-winstall,0.50734544,Fix WSL configuration instructions (#479),"If we are asked for a path-type setting then we should always consult Git directly for the value, and not used cached copies of values that were acquired using git config list without a --type parameter.",0
109,Issue #218 Address PR comments with minor updates to XUnit usage and removed unused code and out of date comments,0.48644,Update System.CommandLine and fix some bugs (#531),"Add TRACE2 region tracing capability. The first six commits contain minor refactors, bug fixes, and cleanups. The first moves Trace2 messages into their own file. The second removes the unnecessary AddDots() method. The third fixes certain conflated timing information in child_start and child_exit events. The fourth ensures we're writing exit message times in UTC. The fifth adds descriptive comments to Trace2-related classes that did not yet have them. The sixth adds best-effort logic to capture thread names. The next three commits are dedicated to preparing for and adding region-related logic. The seventh commit updates custom performance format span handling to account for the repo and category fields, which are used in region tracing. The eighth adds region-related events, encapsulated in a class that inherits from DisposableObject (which in turn inherits from IDisposable). The ninth adds region tracing to methods of interest pertaining to OAuth authentication. The final commit updates GCM's documentation to inform users of how to enable and utilize Trace2 tracing. A final note: This implementation does not support nested regions, as it is not required for the current regions of interest.",0
110,docs: add trace2 to config/env documentation (#1230),1.0000001,docs: add trace2 to config/env documentation (#1230),Document how users can set up and utilize the Trace2 API.,1
111,ui: only include Avn.Diagnostics in debug,0.5492965,Add new diagnose command to help debug problems in the wild (#463),Add region tracing to key methods in OAuth2Client. This was deemed a good starting point for regions due to the server interaction required to obtain tokens. Additional regions can and should be added to additional sections of the code that are deemed performance-critical in the future.,0
