Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Add ability for Rewrites to overwrite request headers (#5139),0.47311378,* feat: add authorization header in preflight request by @promer94 in link,"Description Adds a request_headers override to RewriteVc, allowing middleware to modify the request headers for further lookups. Testing Instructions link Re: WEB-1121",0
Make PrefixedRouterContentSourceVc::new public (#5226),0.45156854,Update with-prisma with App Router. by @anthonyshew in link,Description It needs to be public for next-dev to instantiate it. 🤦  Testing Instructions Give a quick description of steps to test your changes.,0
fix(docs): add back commit from bad merge (#5223),0.5189668,Merge release branch staging-1.5.6 by @nathanhammond in link,,0
Prepare RouterContentSource for basePath (#5218),0.5571559,Fix data requests for dynamic routes (#3435) by @alexkirsz,"Description This is part 2 of WEB-993 basePath support. A few of our next-specific content sources will need to be scoped under the basePath (like _next/image and __nextjs_original-stack-frame). These are currently served with a RouterContentSource, but it didn't have support for arbitrary prefixes. We could have changed the subpath for these sources to include the basePath, but that would require reading the next_config.base_path() in the source method, and it would invalidate our entire call graph whenever the next.config.js changed. Not a good choice. Testing Instructions Give a quick description of steps to test your changes.",0
release(turborepo): 1.10.2-canary.3 (#5222),0.83458877,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
"improve error reporting, omit timeout while debugging (#5221)",0.5398296,Add a debugging section in our docs by @mehulkar in link,Description I need more than 60s to debug a problem. print nicer error messages when JSON is invalid,0
fix(turbo): remove npx version check for gen (#5216),0.94602346,fix(turbo): remove npx version check for gen by @tknickman in link,,1
fix clippy CI (#5213),0.73401284,fix clippy ci diff (#3066) by @ForsakenHarmony in link,Description Counting the number of warnings broke because the output format probably changed (?),1
Update references to docs in code comments and help output (#5179),0.8925487,Update references to docs in code comments and help output by @mehulkar in link,,1
Prepare StaticAssetsContentSourceVc for basePath (#5210),0.44504666,Hash correct file paths for global dependencies by @gsoltis in link,"Description This is part 1 of WEB-993 basePath support. The static assets (things served in the /public directory) can only serve requests that include the basePath, so we'll need to pass that in. In order to not completely invalidate the source function (and all the things that depend on cells created there, ie everything) every time the user edits the next.config.js, we'll need to accept a StringVc. This sets us up without breaking backwards compat, making this multi-PR adventure a little easier. Testing Instructions Give a quick description of steps to test your changes.",0
release(turborepo): 1.10.2-canary.2 (#5212),0.8312162,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
feat(turbopack-image): enable a few more image formats (#5211),0.64486957,feat(create-turbo): use latest turbo by default by @tknickman in link,Description Part of WEB-1146.,0
fix(turborepo): Repo config case normalization (#5209),0.97767884,fix(turborepo): Repo config case normalization by @NicholasLYang in link,Co-authored-by: --global ,1
Add timeSaved value into dry run output (#5171),0.8547252,Add timeSaved value into dry run output by @mehulkar in link,,1
fix(gen): swap to which for windows (#5208),0.92348427,fix(gen): swap to which for windows by @tknickman in link,,1
feat(blog): add turbo gen gif to blog (#5204),0.5517336,feat(turbo): g by @tknickman in link,,0
Add codemod for glob syntax issues. (#5184),0.87270796,Add codemod for glob syntax issues. by @arlyon in link,"Description We discovered a few classes of glob that are soon-to-be invalid with the tightening on the syntax from wax. This codemod handles the most common cases. Out of 720 unique globs encountered, only about 10 of them were invalid, and of those there were 3 general classes of syntax problem which are being addressed here, along with 3 just completely invalid ones. This codemod should as a result fix around 80% of the syntax issues. Testing Instructions cd packages/turbo-codemod pnpm test clean-globs Co-authored-by: Chris Olszewski  Co-authored-by: Chris Olszewski chris.olszewski@vercel.com",1
chore(ci): CODEOWNERS updates (#5206),0.7001715,chore(repo): update codeowners (#3000) by @tknickman in link,,1
fix(turbopack-image): fix build error (#5207),0.74678826,fix(release): use turbo to build packages (#3454) by @tknickman,Description enabling webp never actually able to build.,1
feat(turborepo): Remove anyhow from package manager detection (#5196),0.8814274,feat(turborepo): Remove anyhow from package manager detection by @gsoltis in link,Co-authored-by: Greg Soltis  Co-authored-by: Nicholas Yang nicholas.yang@vercel.com,1
feat(lockfiles): add support pnpm lockfile version 6.1 (#5195),0.9796592,feat(lockfiles): add support pnpm lockfile version 6.1 by @chris-olszewski in link,Description Adds parse support for the new lockfile version added in link fixing #5117 The behavioral change is pretty small for us. The new information was added to allow for pnpm install --frozen-lockfile to produce an identical lockfile even if the .npmrc that was present during the lockfile's creation is no longer present. This does lead to a better UX for prune users as they will no longer need to copy .npmrc in their Dockerfile. Testing Instructions Existing unit tests pass and added new fixture with the settings field that correctly parses. Co-authored-by: Chris Olszewski ,1
"Parallel ignores concurrency and dependencies, we don't need to validate (#5191)",0.8885251,"Parallel ignores concurrency and dependencies, we don't need to validate by @gsoltis in link",Co-authored-by: Greg Soltis ,1
refactor: Do not duplicate SWC transforms in the final binary (#5200),0.52609456,Apply the next/dynamic SWC transform  (#3184) by @alexkirsz,"Description This PR modifies generic instantiation to use &dyn Comments instead of SwcComments, to reduce binary size along with link. Testing Instructions I'll post the binary size once link is merged. Previous binary size: 133.4MiB New binary size: 132.4MiB Closes WEB-1148",0
chore: Enable share-generics (#5121),0.4692332,chore(packages): typecheck and abstract ts config by @tknickman in link,Description This PR enables -Zshare-generics to reduce the binary size. This single option reduces binary size from 153.1MiB to 132.9MiB Testing Instructions Let's look at the benchmark actions. Closes WEB-1144,0
docs: Move deprecated options for run command to bottom (#5180),0.90724367,docs: Move deprecated options for run command to bottom by @mehulkar in link,,1
Update log message when cache restoration is skipped (#5127),0.8766476,Update log message when cache restoration is skipped by @mehulkar in link,,1
feat(turborepo): Remove as_absolute_path() in favor of Deref (#5194),0.92350423,feat(turborepo): Remove as_absolute_path() in favor of Deref by @gsoltis in link,Co-authored-by: Greg Soltis ,1
feat(blog): generators > code generators (#5192),0.616687,feat(basic): add generators to basic example by @tknickman in link,,0
feat(blog): add blog post for 1.10 (#5175),0.73491365,Add blog post for v1.1 by @jaredpalmer in link,,1
release(turborepo): 1.10.2-canary.1 (#5190),0.8302431,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
chore(cli): add note about changing run summary (#5186),0.86243844,chore(cli): add note about changing run summary by @tknickman in link,,1
"fix(turborepo): Restructure reading from stderr, fix parsing of ls-tree (#5181)",0.9692563,"fix(turborepo): Restructure reading from stderr, fix parsing of ls-tree by @gsoltis in link",Co-authored-by: Greg Soltis  Co-authored-by: Nicholas Yang nicholas.yang@vercel.com Co-authored-by: Chris Olszewski chris.olszewski@vercel.com,1
ci(workflow): limit datadog upload more strictly (#5178),0.52709305,ci(workflow): fix integration job log detection (#3481) by @kwonoj,"Description ✍️ Write a short summary of your work.   If necessary, include relevant screenshots. Testing Instructions Give a quick description of steps to test your changes.",0
docs: add --out-dir reference for prune command (#5173),0.95322585,docs: add --out-dir reference for prune command by @mehulkar in link,,1
chore: organize integration tests (#5116),0.645017,Organize tests a bit by @mehulkar in link,Some aesthetic changes to make it easier to find tests and helpers.,0
Run prettier in individual workspaces (#3925),0.5283499,Fix prettier for examples (#3508) by @alexkirsz,"This adds a lint:prettier task in each workspace so that we can get the benefits of a granular cache and when running prettier, we don't have to run it across the entire monorepo (notably the benchmark/ workspace which is very slow to run prettier on, and rarely changes -- an ideal candidate for a cache hit)",0
chore: specify rust crates as inputs to building turborepo (#4664),0.94574356,chore: specify rust crates as inputs to building turborepo by @mehulkar in link,,1
feat(turbopack-image): enable gif support (#5174),0.6420864,fix: Add .turbo to .gitignore by @NicholasLYang in link,Description minor featature to enable gif support.,0
docs: add separate pages for each CLI command (#5172),0.44724095,Fix heading level for CLI option in docs by @mehulkar in link,,0
make HMR re-execute modules that self invalidate (#5161),0.39535004,chore(turborepo): drop deprecated run flags (#2992) by @chris-olszewski in link,"Description This can happen when a module that previously exported a React component no longer does, the next react refresh integration will then call module.hot.invalidate() fixes the acceptance/ReactRefreshRequire.test.ts next.js integration test",0
Merge the glob walk / globbing integration branch into main (#5168),0.58122104,Plumb through errors in globbing.  by @nathanhammond in link,,0
Merge timesaved and cache status data structures (#5135),0.87668556,Merge timesaved and cache status data structures by @mehulkar in link,"Instead of Local/Remote booleans, use a Source field. This ensure that we are more truthful about where the cache was restored from, rather than which cache happened to win the race condition. Adds timeSaved value from the same cache source where restoration happened from.",1
Update existing-monorepo.mdx (#5149),0.9005586,Update existing-monorepo.mdx by @tomheaton in link,Update existing-monorepo.mdx Description fix indentation in turbo.json example Co-authored-by: Chris Olszewski chris.olszewski@vercel.com,1
feat(create-turbo): use latest turbo by default (#5155),0.9540339,feat(create-turbo): use latest turbo by default by @tknickman in link,,1
release(turborepo): 1.10.2-canary.0 (#5170),0.8306277,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
"feat(turborepo): Wait for a pid file, then a sock file (#5158)",0.9419731,"feat(turborepo): Wait for a pid file, then a sock file by @gsoltis in link",Co-authored-by: Greg Soltis ,1
feat(bindings): expose filesystemcache feature (#5162),0.4584195,feat(docs): add remote cache counter (#3271) by @tknickman,Description Exposing swc's filesystemcache for the plugin to use in next-swc.,0
chore(turborepo): Port piece of kill_live_server test for version mismatch (#5153),0.9785993,chore(turborepo): Port piece of kill_live_server test for version mismatch by @gsoltis in link,Co-authored-by: Greg Soltis ,1
Copy benckmark deps into directory (#5159),0.47869194,Move persistent deps tests to prysk (#3566) by @mehulkar,"Description 5156 turned out to be flakey, and it seems our root detection will prevent us from running the local next package unless we copy it over into the benchmark app. I really hate our root detection, and think we should get rid of it. I don't care where the file is located, it should be readable by our bundler. Testing Instructions",0
release(turborepo): 1.10.1 (#5157),0.7978016,Turborepo 1.8,Co-authored-by: Turbobot turbobot@vercel.com Co-authored-by: Greg Soltis  Co-authored-by: github-actions[bot] 41898282+github-actions[bot]@users.noreply.github.com Co-authored-by: Greg Soltis greg.soltis@vercel.com,1
Support installing tip-of-canary next for benchmarks (#5156),0.6164342,feat(create-turbo): use canary if pre-release (#3225) by @tknickman in link,"Description A small change to support installing a local next@file:path/to/next.js/packages/next next package. This fixes an issue where we run tip-of-canary next-dev vs the last published next package, and allows us to benchmark breaking changes. The --install-links option is a little oxymoronic. When set to true, it doesn't use symlinks, so we need to set it to false to avoid copying a bunch of files. Testing Instructions Give a quick description of steps to test your changes.",0
feat(daemon): clean (#5152),0.89936125,feat(daemon): clean by @tknickman in link,Co-authored-by: Alexander Lyon arlyon@me.com,1
Greatly expand the content for caching information. (#5078),0.57018137,Document fixes for the cache section by @kokiebisu in link,Co-authored-by: Nathan Hammond  Co-authored-by: tknickman tom.knickman@vercel.com,0
release(turborepo): 1.10.1-canary.1 (#5154),0.8282272,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com Co-authored-by: Greg Soltis  Co-authored-by: github-actions[bot] 41898282+github-actions[bot]@users.noreply.github.com Co-authored-by: Greg Soltis greg.soltis@vercel.com,1
feat(types): publish turbo types (#5130),0.89769137,feat(types): publish turbo types by @tknickman in link,,1
release(turborepo): 1.10.1-canary.0 (#5150),0.8278209,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com Co-authored-by: Greg Soltis ,1
fix(turborepo): Handle unimplemented and failed_precondition in daemon clients (#5151),0.9687917,fix(turborepo): Handle unimplemented and failed_precondition in daemon clients by @gsoltis in link,Co-authored-by: Greg Soltis ,1
feat(turborepo): Set feature to use Go daemon (#5147),0.9476375,feat(turborepo): Set feature to use Go daemon by @gsoltis in link,Co-authored-by: Greg Soltis  Co-authored-by: Chris Olszewski chris.olszewski@vercel.com,1
feat(docs): change cards title color (#5142),0.4647348,feat(docs): new pack logo (#2947) by @tknickman in link,,0
fix @vercel/turbopack-node types by adding reference to compiled package (#5141),0.7271261,fix(release): use turbo to build packages (#3454) by @tknickman,,1
refactor(turborepo): API Client Cleanup (#5084),0.9411545,refactor(turborepo): API Client Cleanup by @NicholasLYang in link,"Description I had this inside the HTTP cache PR, but it makes sense as a separate PR. Refactors the API client in the following ways: Changes the retry logic to use try_clone from reqwest instead of the awkward (and unnecessarily general) retry_future function that relied on a closure that generates a Rust future. Use a crate Error type with thiserror instead of anyhow. This is pretty standard. Factor out some common logic into helper functions Testing Instructions Existing tests should suffice. Co-authored-by: --global ",1
